nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/5739 | TOTAL_LOSS=1.483112 | REG_LOSS=1.100387 | SOFTCLIP_LOSS=1.062339 | PCL_LOSS=2.764911 | DRUG_PCL=1.339280 | PROT_PCL=1.425631 | MEAN_GATE=0.4763 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3741 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.048993
  STEP 200/5739 | TOTAL_LOSS=2.425491 | REG_LOSS=2.045140 | SOFTCLIP_LOSS=1.157678 | PCL_LOSS=2.645834 | DRUG_PCL=1.173298 | PROT_PCL=1.472536 | MEAN_GATE=0.4835 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3301 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.430084
  STEP 300/5739 | TOTAL_LOSS=0.668099 | REG_LOSS=0.286603 | SOFTCLIP_LOSS=0.998171 | PCL_LOSS=2.816793 | DRUG_PCL=1.419052 | PROT_PCL=1.397740 | MEAN_GATE=0.4889 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.2107 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.535353
  STEP 400/5739 | TOTAL_LOSS=0.719058 | REG_LOSS=0.319535 | SOFTCLIP_LOSS=1.234830 | PCL_LOSS=2.760402 | DRUG_PCL=1.362936 | PROT_PCL=1.397465 | MEAN_GATE=0.5059 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3057 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.565274
  STEP 500/5739 | TOTAL_LOSS=0.505815 | REG_LOSS=0.111386 | SOFTCLIP_LOSS=1.160044 | PCL_LOSS=2.784246 | DRUG_PCL=1.396937 | PROT_PCL=1.387309 | MEAN_GATE=0.5048 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3257 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.333745
  STEP 600/5739 | TOTAL_LOSS=1.036273 | REG_LOSS=0.633141 | SOFTCLIP_LOSS=1.235985 | PCL_LOSS=2.795330 | DRUG_PCL=1.448639 | PROT_PCL=1.346690 | MEAN_GATE=0.5107 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3786 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.795702
  STEP 700/5739 | TOTAL_LOSS=0.758189 | REG_LOSS=0.353276 | SOFTCLIP_LOSS=1.195939 | PCL_LOSS=2.853186 | DRUG_PCL=1.418346 | PROT_PCL=1.434840 | MEAN_GATE=0.5214 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2529 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.594370
  STEP 800/5739 | TOTAL_LOSS=1.050443 | REG_LOSS=0.630608 | SOFTCLIP_LOSS=1.337486 | PCL_LOSS=2.860865 | DRUG_PCL=1.377382 | PROT_PCL=1.483484 | MEAN_GATE=0.5417 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.1968 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.794108
  STEP 900/5739 | TOTAL_LOSS=1.213225 | REG_LOSS=0.819256 | SOFTCLIP_LOSS=1.172463 | PCL_LOSS=2.767218 | DRUG_PCL=1.352757 | PROT_PCL=1.414461 | MEAN_GATE=0.5400 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2958 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.905128
  STEP 1000/5739 | TOTAL_LOSS=0.574766 | REG_LOSS=0.180557 | SOFTCLIP_LOSS=1.158199 | PCL_LOSS=2.783895 | DRUG_PCL=1.397486 | PROT_PCL=1.386409 | MEAN_GATE=0.5321 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.424920
  STEP 1100/5739 | TOTAL_LOSS=1.116108 | REG_LOSS=0.705208 | SOFTCLIP_LOSS=1.290960 | PCL_LOSS=2.818039 | DRUG_PCL=1.408748 | PROT_PCL=1.409291 | MEAN_GATE=0.5302 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2654 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.839767
  STEP 1200/5739 | TOTAL_LOSS=0.483870 | REG_LOSS=0.078691 | SOFTCLIP_LOSS=1.309884 | PCL_LOSS=2.741910 | DRUG_PCL=1.366846 | PROT_PCL=1.375064 | MEAN_GATE=0.5280 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2119 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.280518
  STEP 1300/5739 | TOTAL_LOSS=0.824736 | REG_LOSS=0.407195 | SOFTCLIP_LOSS=1.265466 | PCL_LOSS=2.909945 | DRUG_PCL=1.409126 | PROT_PCL=1.500819 | MEAN_GATE=0.5457 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2209 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.638118
  STEP 1400/5739 | TOTAL_LOSS=0.712557 | REG_LOSS=0.317437 | SOFTCLIP_LOSS=1.179902 | PCL_LOSS=2.771295 | DRUG_PCL=1.373777 | PROT_PCL=1.397519 | MEAN_GATE=0.5572 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2900 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.563415
  STEP 1500/5739 | TOTAL_LOSS=1.095660 | REG_LOSS=0.684192 | SOFTCLIP_LOSS=1.331938 | PCL_LOSS=2.782742 | DRUG_PCL=1.379340 | PROT_PCL=1.403402 | MEAN_GATE=0.5529 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3504 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.827159
  STEP 1600/5739 | TOTAL_LOSS=0.566105 | REG_LOSS=0.170327 | SOFTCLIP_LOSS=1.174214 | PCL_LOSS=2.783570 | DRUG_PCL=1.400999 | PROT_PCL=1.382571 | MEAN_GATE=0.5369 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3317 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.412706
  STEP 1700/5739 | TOTAL_LOSS=0.826156 | REG_LOSS=0.417208 | SOFTCLIP_LOSS=1.298508 | PCL_LOSS=2.790977 | DRUG_PCL=1.436111 | PROT_PCL=1.354866 | MEAN_GATE=0.5498 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3613 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.645916
  STEP 1800/5739 | TOTAL_LOSS=0.761696 | REG_LOSS=0.347050 | SOFTCLIP_LOSS=1.383275 | PCL_LOSS=2.763191 | DRUG_PCL=1.388083 | PROT_PCL=1.375109 | MEAN_GATE=0.5342 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2296 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.589109
  STEP 1900/5739 | TOTAL_LOSS=4.188461 | REG_LOSS=3.796046 | SOFTCLIP_LOSS=1.124310 | PCL_LOSS=2.799842 | DRUG_PCL=1.357190 | PROT_PCL=1.442652 | MEAN_GATE=0.5478 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3986 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.948344
  STEP 2000/5739 | TOTAL_LOSS=0.717874 | REG_LOSS=0.335062 | SOFTCLIP_LOSS=0.993359 | PCL_LOSS=2.834757 | DRUG_PCL=1.430603 | PROT_PCL=1.404154 | MEAN_GATE=0.5507 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4429 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.578845
  STEP 2100/5739 | TOTAL_LOSS=2.422301 | REG_LOSS=2.022922 | SOFTCLIP_LOSS=1.203568 | PCL_LOSS=2.790222 | DRUG_PCL=1.398671 | PROT_PCL=1.391551 | MEAN_GATE=0.5642 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3338 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.422295
  STEP 2200/5739 | TOTAL_LOSS=0.401452 | REG_LOSS=0.037951 | SOFTCLIP_LOSS=0.909076 | PCL_LOSS=2.725934 | DRUG_PCL=1.358771 | PROT_PCL=1.367163 | MEAN_GATE=0.5618 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.5608 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.194809
  STEP 2300/5739 | TOTAL_LOSS=0.701948 | REG_LOSS=0.304355 | SOFTCLIP_LOSS=1.248662 | PCL_LOSS=2.727267 | DRUG_PCL=1.308829 | PROT_PCL=1.418438 | MEAN_GATE=0.5478 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2598 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.551684
  STEP 2400/5739 | TOTAL_LOSS=0.953176 | REG_LOSS=0.542032 | SOFTCLIP_LOSS=1.246149 | PCL_LOSS=2.865289 | DRUG_PCL=1.467327 | PROT_PCL=1.397962 | MEAN_GATE=0.5384 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2917 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.736228
  STEP 2500/5739 | TOTAL_LOSS=0.655973 | REG_LOSS=0.261841 | SOFTCLIP_LOSS=1.222368 | PCL_LOSS=2.718948 | DRUG_PCL=1.334249 | PROT_PCL=1.384699 | MEAN_GATE=0.5503 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3293 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.511704
  STEP 2600/5739 | TOTAL_LOSS=0.500460 | REG_LOSS=0.096620 | SOFTCLIP_LOSS=1.317714 | PCL_LOSS=2.720690 | DRUG_PCL=1.397539 | PROT_PCL=1.323151 | MEAN_GATE=0.5242 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2708 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.310837
  STEP 2700/5739 | TOTAL_LOSS=0.674273 | REG_LOSS=0.269534 | SOFTCLIP_LOSS=1.319885 | PCL_LOSS=2.727499 | DRUG_PCL=1.365295 | PROT_PCL=1.362203 | MEAN_GATE=0.5388 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2717 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.519167
  STEP 2800/5739 | TOTAL_LOSS=0.592445 | REG_LOSS=0.194446 | SOFTCLIP_LOSS=1.225275 | PCL_LOSS=2.754718 | DRUG_PCL=1.382386 | PROT_PCL=1.372332 | MEAN_GATE=0.5394 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3284 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.440960
  STEP 2900/5739 | TOTAL_LOSS=0.551061 | REG_LOSS=0.141321 | SOFTCLIP_LOSS=1.327906 | PCL_LOSS=2.769501 | DRUG_PCL=1.389419 | PROT_PCL=1.380082 | MEAN_GATE=0.5476 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2377 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.375926
  STEP 3000/5739 | TOTAL_LOSS=0.963085 | REG_LOSS=0.578362 | SOFTCLIP_LOSS=1.094109 | PCL_LOSS=2.753128 | DRUG_PCL=1.385283 | PROT_PCL=1.367844 | MEAN_GATE=0.5556 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3566 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.760501
  STEP 3100/5739 | TOTAL_LOSS=0.922760 | REG_LOSS=0.511093 | SOFTCLIP_LOSS=1.313730 | PCL_LOSS=2.802942 | DRUG_PCL=1.387508 | PROT_PCL=1.415434 | MEAN_GATE=0.5170 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2604 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.714908
  STEP 3200/5739 | TOTAL_LOSS=0.418348 | REG_LOSS=0.033046 | SOFTCLIP_LOSS=1.090665 | PCL_LOSS=2.762357 | DRUG_PCL=1.380555 | PROT_PCL=1.381801 | MEAN_GATE=0.5287 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3542 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.181786
  STEP 3300/5739 | TOTAL_LOSS=1.306856 | REG_LOSS=0.908766 | SOFTCLIP_LOSS=1.155691 | PCL_LOSS=2.825214 | DRUG_PCL=1.460987 | PROT_PCL=1.364227 | MEAN_GATE=0.5545 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4003 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.953292
  STEP 3400/5739 | TOTAL_LOSS=0.992220 | REG_LOSS=0.582398 | SOFTCLIP_LOSS=1.328862 | PCL_LOSS=2.769355 | DRUG_PCL=1.382554 | PROT_PCL=1.386801 | MEAN_GATE=0.5372 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3537 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.763150
  STEP 3500/5739 | TOTAL_LOSS=1.439325 | REG_LOSS=1.051713 | SOFTCLIP_LOSS=1.121803 | PCL_LOSS=2.754321 | DRUG_PCL=1.342125 | PROT_PCL=1.412196 | MEAN_GATE=0.5616 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2958 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.025531
  STEP 3600/5739 | TOTAL_LOSS=2.202618 | REG_LOSS=1.789995 | SOFTCLIP_LOSS=1.316574 | PCL_LOSS=2.809649 | DRUG_PCL=1.404760 | PROT_PCL=1.404888 | MEAN_GATE=0.5359 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3990 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.337907
  STEP 3700/5739 | TOTAL_LOSS=0.678370 | REG_LOSS=0.261389 | SOFTCLIP_LOSS=1.320884 | PCL_LOSS=2.848926 | DRUG_PCL=1.414707 | PROT_PCL=1.434219 | MEAN_GATE=0.5369 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2786 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.511262
  STEP 3800/5739 | TOTAL_LOSS=0.585531 | REG_LOSS=0.177553 | SOFTCLIP_LOSS=1.229882 | PCL_LOSS=2.849905 | DRUG_PCL=1.436912 | PROT_PCL=1.412993 | MEAN_GATE=0.5977 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2982 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.421370
  STEP 3900/5739 | TOTAL_LOSS=2.341534 | REG_LOSS=1.925355 | SOFTCLIP_LOSS=1.296309 | PCL_LOSS=2.865478 | DRUG_PCL=1.473810 | PROT_PCL=1.391668 | MEAN_GATE=0.5896 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3428 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.387572
  STEP 4000/5739 | TOTAL_LOSS=0.926585 | REG_LOSS=0.515114 | SOFTCLIP_LOSS=1.339347 | PCL_LOSS=2.775362 | DRUG_PCL=1.382715 | PROT_PCL=1.392647 | MEAN_GATE=0.5957 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2612 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.717714
  STEP 4100/5739 | TOTAL_LOSS=0.568078 | REG_LOSS=0.184069 | SOFTCLIP_LOSS=1.072617 | PCL_LOSS=2.767479 | DRUG_PCL=1.378622 | PROT_PCL=1.388856 | MEAN_GATE=0.5257 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3542 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.429033
  STEP 4200/5739 | TOTAL_LOSS=1.123958 | REG_LOSS=0.719207 | SOFTCLIP_LOSS=1.297687 | PCL_LOSS=2.749824 | DRUG_PCL=1.361113 | PROT_PCL=1.388711 | MEAN_GATE=0.5690 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2731 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.848061
  STEP 4300/5739 | TOTAL_LOSS=1.183307 | REG_LOSS=0.798612 | SOFTCLIP_LOSS=1.078794 | PCL_LOSS=2.768155 | DRUG_PCL=1.383114 | PROT_PCL=1.385041 | MEAN_GATE=0.5487 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3695 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.893651
  STEP 4400/5739 | TOTAL_LOSS=1.639951 | REG_LOSS=1.240788 | SOFTCLIP_LOSS=1.245602 | PCL_LOSS=2.746029 | DRUG_PCL=1.385761 | PROT_PCL=1.360267 | MEAN_GATE=0.5607 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3502 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.113907
  STEP 4500/5739 | TOTAL_LOSS=0.551743 | REG_LOSS=0.143886 | SOFTCLIP_LOSS=1.324737 | PCL_LOSS=2.753834 | DRUG_PCL=1.377464 | PROT_PCL=1.376370 | MEAN_GATE=0.5172 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2195 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.379323
  STEP 4600/5739 | TOTAL_LOSS=0.698995 | REG_LOSS=0.282347 | SOFTCLIP_LOSS=1.364927 | PCL_LOSS=2.801560 | DRUG_PCL=1.419458 | PROT_PCL=1.382103 | MEAN_GATE=0.5371 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2634 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.531363
  STEP 4700/5739 | TOTAL_LOSS=3.092700 | REG_LOSS=2.698407 | SOFTCLIP_LOSS=1.214512 | PCL_LOSS=2.728413 | DRUG_PCL=1.360083 | PROT_PCL=1.368330 | MEAN_GATE=0.5908 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4754 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.642683
  STEP 4800/5739 | TOTAL_LOSS=0.528904 | REG_LOSS=0.131879 | SOFTCLIP_LOSS=1.159015 | PCL_LOSS=2.811228 | DRUG_PCL=1.405938 | PROT_PCL=1.405289 | MEAN_GATE=0.5719 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3713 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.363152
  STEP 4900/5739 | TOTAL_LOSS=2.047167 | REG_LOSS=1.650719 | SOFTCLIP_LOSS=1.194853 | PCL_LOSS=2.769629 | DRUG_PCL=1.393994 | PROT_PCL=1.375636 | MEAN_GATE=0.5794 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3222 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.284803
  STEP 5000/5739 | TOTAL_LOSS=0.472561 | REG_LOSS=0.072648 | SOFTCLIP_LOSS=1.247210 | PCL_LOSS=2.751921 | DRUG_PCL=1.356074 | PROT_PCL=1.395847 | MEAN_GATE=0.5956 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2917 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.269532
  STEP 5100/5739 | TOTAL_LOSS=0.621573 | REG_LOSS=0.217338 | SOFTCLIP_LOSS=1.242528 | PCL_LOSS=2.799828 | DRUG_PCL=1.414319 | PROT_PCL=1.385508 | MEAN_GATE=0.5733 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2357 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.466195
  STEP 5200/5739 | TOTAL_LOSS=1.231184 | REG_LOSS=0.829667 | SOFTCLIP_LOSS=1.238015 | PCL_LOSS=2.777147 | DRUG_PCL=1.388147 | PROT_PCL=1.389000 | MEAN_GATE=0.5544 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3236 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.910861
  STEP 5300/5739 | TOTAL_LOSS=0.688620 | REG_LOSS=0.302059 | SOFTCLIP_LOSS=1.141660 | PCL_LOSS=2.723950 | DRUG_PCL=1.362596 | PROT_PCL=1.361354 | MEAN_GATE=0.5573 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3606 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.549599
  STEP 5400/5739 | TOTAL_LOSS=1.257175 | REG_LOSS=0.844938 | SOFTCLIP_LOSS=1.305008 | PCL_LOSS=2.817358 | DRUG_PCL=1.423406 | PROT_PCL=1.393952 | MEAN_GATE=0.5996 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3247 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.919205
  STEP 5500/5739 | TOTAL_LOSS=1.432127 | REG_LOSS=1.058591 | SOFTCLIP_LOSS=0.957179 | PCL_LOSS=2.778180 | DRUG_PCL=1.392892 | PROT_PCL=1.385287 | MEAN_GATE=0.5771 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3947 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.028878
