nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/davis_softclip_pcl_labelsim_drug3d_prot3d_full200/best_model.pt | start_epoch=277 | best_val_rmse=0.454591 | no_improve=52

EPOCH 277/500
  STEP 100/5739 | TOTAL_LOSS=0.259217 | REG_LOSS=0.135498 | SOFTCLIP_LOSS=1.211086 | PCL_LOSS=0.026108 | DRUG_PCL=0.000000 | PROT_PCL=0.026108 | MEAN_GATE=0.3735 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3742 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.368101
  STEP 200/5739 | TOTAL_LOSS=0.810154 | REG_LOSS=0.715791 | SOFTCLIP_LOSS=0.942910 | PCL_LOSS=0.000715 | DRUG_PCL=0.000012 | PROT_PCL=0.000704 | MEAN_GATE=0.3574 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2987 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.846045
  STEP 300/5739 | TOTAL_LOSS=0.268350 | REG_LOSS=0.110901 | SOFTCLIP_LOSS=1.207227 | PCL_LOSS=0.367265 | DRUG_PCL=0.366769 | PROT_PCL=0.000497 | MEAN_GATE=0.2965 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2174 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.333018
  STEP 400/5739 | TOTAL_LOSS=0.325404 | REG_LOSS=0.076799 | SOFTCLIP_LOSS=1.239227 | PCL_LOSS=1.246823 | DRUG_PCL=0.000055 | PROT_PCL=1.246769 | MEAN_GATE=0.3485 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2975 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.277127
  STEP 500/5739 | TOTAL_LOSS=0.217097 | REG_LOSS=0.068136 | SOFTCLIP_LOSS=1.160014 | PCL_LOSS=0.329594 | DRUG_PCL=0.000000 | PROT_PCL=0.329594 | MEAN_GATE=0.3640 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2616 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.261030
  STEP 600/5739 | TOTAL_LOSS=0.228014 | REG_LOSS=0.045224 | SOFTCLIP_LOSS=1.205408 | PCL_LOSS=0.622483 | DRUG_PCL=0.002175 | PROT_PCL=0.620308 | MEAN_GATE=0.3404 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2246 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.212660
  STEP 700/5739 | TOTAL_LOSS=0.582971 | REG_LOSS=0.460006 | SOFTCLIP_LOSS=1.229223 | PCL_LOSS=0.000430 | DRUG_PCL=0.000078 | PROT_PCL=0.000352 | MEAN_GATE=0.3052 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2621 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.678238
  STEP 800/5739 | TOTAL_LOSS=0.625973 | REG_LOSS=0.460440 | SOFTCLIP_LOSS=1.304234 | PCL_LOSS=0.351101 | DRUG_PCL=0.005317 | PROT_PCL=0.345783 | MEAN_GATE=0.3080 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2551 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.678557
  STEP 900/5739 | TOTAL_LOSS=0.131703 | REG_LOSS=0.015420 | SOFTCLIP_LOSS=0.806491 | PCL_LOSS=0.356334 | DRUG_PCL=0.062945 | PROT_PCL=0.293389 | MEAN_GATE=0.3482 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.3404 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.124179
  STEP 1000/5739 | TOTAL_LOSS=0.368676 | REG_LOSS=0.244368 | SOFTCLIP_LOSS=1.144105 | PCL_LOSS=0.098974 | DRUG_PCL=0.000151 | PROT_PCL=0.098823 | MEAN_GATE=0.3740 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3662 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.494336
  STEP 1100/5739 | TOTAL_LOSS=0.230662 | REG_LOSS=0.066456 | SOFTCLIP_LOSS=1.227217 | PCL_LOSS=0.414843 | DRUG_PCL=0.000203 | PROT_PCL=0.414640 | MEAN_GATE=0.3378 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.257790
