nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/10
  STEP 100/5739 | TOTAL_LOSS=1.252592 | REG_LOSS=0.850500 | SOFTCLIP_LOSS=1.231267 | PCL_LOSS=2.789653 | DRUG_PCL=1.376271 | PROT_PCL=1.413382 | MEAN_GATE=0.4838 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3742 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.922225
  STEP 200/5739 | TOTAL_LOSS=1.216408 | REG_LOSS=0.847297 | SOFTCLIP_LOSS=0.962864 | PCL_LOSS=2.728238 | DRUG_PCL=1.349453 | PROT_PCL=1.378785 | MEAN_GATE=0.4827 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2987 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.920488
  STEP 300/5739 | TOTAL_LOSS=0.720374 | REG_LOSS=0.316885 | SOFTCLIP_LOSS=1.236206 | PCL_LOSS=2.798686 | DRUG_PCL=1.440076 | PROT_PCL=1.358610 | MEAN_GATE=0.4832 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2174 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.562925
  STEP 400/5739 | TOTAL_LOSS=0.592188 | REG_LOSS=0.198216 | SOFTCLIP_LOSS=1.249814 | PCL_LOSS=2.689915 | DRUG_PCL=1.349416 | PROT_PCL=1.340498 | MEAN_GATE=0.5044 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2975 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.445214
  STEP 500/5739 | TOTAL_LOSS=0.823272 | REG_LOSS=0.428328 | SOFTCLIP_LOSS=1.211163 | PCL_LOSS=2.738278 | DRUG_PCL=1.362272 | PROT_PCL=1.376006 | MEAN_GATE=0.5273 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2616 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.654468
  STEP 600/5739 | TOTAL_LOSS=0.675857 | REG_LOSS=0.273230 | SOFTCLIP_LOSS=1.251488 | PCL_LOSS=2.774777 | DRUG_PCL=1.393360 | PROT_PCL=1.381417 | MEAN_GATE=0.5212 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2246 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.522714
  STEP 700/5739 | TOTAL_LOSS=1.550985 | REG_LOSS=1.140049 | SOFTCLIP_LOSS=1.308866 | PCL_LOSS=2.800495 | DRUG_PCL=1.456005 | PROT_PCL=1.344490 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2621 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.067731
  STEP 800/5739 | TOTAL_LOSS=0.834440 | REG_LOSS=0.419201 | SOFTCLIP_LOSS=1.344499 | PCL_LOSS=2.807895 | DRUG_PCL=1.431079 | PROT_PCL=1.376817 | MEAN_GATE=0.5262 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2551 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.647457
  STEP 900/5739 | TOTAL_LOSS=0.483458 | REG_LOSS=0.116813 | SOFTCLIP_LOSS=0.875073 | PCL_LOSS=2.791381 | DRUG_PCL=1.425983 | PROT_PCL=1.365398 | MEAN_GATE=0.5260 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.3404 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.341779
  STEP 1000/5739 | TOTAL_LOSS=0.854850 | REG_LOSS=0.467525 | SOFTCLIP_LOSS=1.154289 | PCL_LOSS=2.718964 | DRUG_PCL=1.351292 | PROT_PCL=1.367671 | MEAN_GATE=0.5342 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3662 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.683758
  STEP 1100/5739 | TOTAL_LOSS=0.537109 | REG_LOSS=0.126632 | SOFTCLIP_LOSS=1.243490 | PCL_LOSS=2.861279 | DRUG_PCL=1.448656 | PROT_PCL=1.412622 | MEAN_GATE=0.5311 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.355854
