nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/500
  STEP 100/5739 | TOTAL_LOSS=1.169125 | REG_LOSS=0.854503 | SOFTCLIP_LOSS=1.228639 | PCL_LOSS=2.777624 | DRUG_PCL=1.359495 | PROT_PCL=1.418129 | MEAN_GATE=0.4831 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3742 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.924393
  STEP 200/5739 | TOTAL_LOSS=1.144763 | REG_LOSS=0.841906 | SOFTCLIP_LOSS=0.962732 | PCL_LOSS=2.739751 | DRUG_PCL=1.351404 | PROT_PCL=1.388347 | MEAN_GATE=0.4807 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2987 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.917554
  STEP 300/5739 | TOTAL_LOSS=0.631568 | REG_LOSS=0.317773 | SOFTCLIP_LOSS=1.235018 | PCL_LOSS=2.767444 | DRUG_PCL=1.427386 | PROT_PCL=1.340058 | MEAN_GATE=0.4809 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2174 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.563714
  STEP 400/5739 | TOTAL_LOSS=0.501320 | REG_LOSS=0.195925 | SOFTCLIP_LOSS=1.254155 | PCL_LOSS=2.677704 | DRUG_PCL=1.339601 | PROT_PCL=1.338102 | MEAN_GATE=0.5034 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2975 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.442634
  STEP 500/5739 | TOTAL_LOSS=0.732970 | REG_LOSS=0.423727 | SOFTCLIP_LOSS=1.209700 | PCL_LOSS=2.729516 | DRUG_PCL=1.356845 | PROT_PCL=1.372671 | MEAN_GATE=0.5271 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2616 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.650943
  STEP 600/5739 | TOTAL_LOSS=0.592984 | REG_LOSS=0.276910 | SOFTCLIP_LOSS=1.245916 | PCL_LOSS=2.786967 | DRUG_PCL=1.390921 | PROT_PCL=1.396047 | MEAN_GATE=0.5206 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2246 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.526222
  STEP 700/5739 | TOTAL_LOSS=1.452218 | REG_LOSS=1.132341 | SOFTCLIP_LOSS=1.302680 | PCL_LOSS=2.807961 | DRUG_PCL=1.460842 | PROT_PCL=1.347120 | MEAN_GATE=0.5118 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2621 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.064115
  STEP 800/5739 | TOTAL_LOSS=0.737393 | REG_LOSS=0.416861 | SOFTCLIP_LOSS=1.364783 | PCL_LOSS=2.795879 | DRUG_PCL=1.430966 | PROT_PCL=1.364913 | MEAN_GATE=0.5263 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2551 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.645648
  STEP 900/5739 | TOTAL_LOSS=0.418039 | REG_LOSS=0.111505 | SOFTCLIP_LOSS=0.879653 | PCL_LOSS=2.801439 | DRUG_PCL=1.430382 | PROT_PCL=1.371057 | MEAN_GATE=0.5268 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.3404 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.333924
  STEP 1000/5739 | TOTAL_LOSS=0.761860 | REG_LOSS=0.455531 | SOFTCLIP_LOSS=1.151475 | PCL_LOSS=2.717847 | DRUG_PCL=1.347468 | PROT_PCL=1.370378 | MEAN_GATE=0.5343 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3662 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.674930
  STEP 1100/5739 | TOTAL_LOSS=0.445271 | REG_LOSS=0.124948 | SOFTCLIP_LOSS=1.251050 | PCL_LOSS=2.827916 | DRUG_PCL=1.429256 | PROT_PCL=1.398660 | MEAN_GATE=0.5310 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.353480
