nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: /data1/ztx/MyModel-MDTA/outputs/EGNN/parameter_tuning/davis_s1_lc005_lp010/best_model.pt | start_epoch=182 | best_val_rmse=0.456179 | no_improve=0

EPOCH 182/500
  STEP 100/5739 | TOTAL_LOSS=0.139932 | REG_LOSS=0.139932 | SOFTCLIP_LOSS=1.220140 | PCL_LOSS=0.465714 | DRUG_PCL=0.000004 | PROT_PCL=0.465710 | MEAN_GATE=0.3290 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3742 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.374075
  STEP 200/5739 | TOTAL_LOSS=0.234547 | REG_LOSS=0.234547 | SOFTCLIP_LOSS=0.926963 | PCL_LOSS=0.000052 | DRUG_PCL=0.000049 | PROT_PCL=0.000003 | MEAN_GATE=0.3601 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.2987 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.484300
  STEP 300/5739 | TOTAL_LOSS=0.019804 | REG_LOSS=0.019804 | SOFTCLIP_LOSS=1.214079 | PCL_LOSS=0.092567 | DRUG_PCL=0.092565 | PROT_PCL=0.000001 | MEAN_GATE=0.2760 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2174 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.140726
  STEP 400/5739 | TOTAL_LOSS=0.019760 | REG_LOSS=0.019760 | SOFTCLIP_LOSS=1.236712 | PCL_LOSS=0.006505 | DRUG_PCL=0.000017 | PROT_PCL=0.006488 | MEAN_GATE=0.3174 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2975 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.140570
  STEP 500/5739 | TOTAL_LOSS=0.035767 | REG_LOSS=0.035767 | SOFTCLIP_LOSS=1.132182 | PCL_LOSS=0.172677 | DRUG_PCL=0.000000 | PROT_PCL=0.172677 | MEAN_GATE=0.3499 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2616 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.189122
  STEP 600/5739 | TOTAL_LOSS=0.082026 | REG_LOSS=0.082026 | SOFTCLIP_LOSS=1.203763 | PCL_LOSS=0.161128 | DRUG_PCL=0.000033 | PROT_PCL=0.161095 | MEAN_GATE=0.3252 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2246 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.286402
  STEP 700/5739 | TOTAL_LOSS=0.391148 | REG_LOSS=0.391148 | SOFTCLIP_LOSS=1.227398 | PCL_LOSS=0.001977 | DRUG_PCL=0.000953 | PROT_PCL=0.001024 | MEAN_GATE=0.2619 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2621 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.625418
  STEP 800/5739 | TOTAL_LOSS=0.393319 | REG_LOSS=0.393319 | SOFTCLIP_LOSS=1.297057 | PCL_LOSS=0.557130 | DRUG_PCL=0.000681 | PROT_PCL=0.556449 | MEAN_GATE=0.2829 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2551 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.627152
  STEP 900/5739 | TOTAL_LOSS=0.011186 | REG_LOSS=0.011186 | SOFTCLIP_LOSS=0.816040 | PCL_LOSS=0.000843 | DRUG_PCL=0.000168 | PROT_PCL=0.000675 | MEAN_GATE=0.3201 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.3404 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.105765
  STEP 1000/5739 | TOTAL_LOSS=0.039972 | REG_LOSS=0.039972 | SOFTCLIP_LOSS=1.142213 | PCL_LOSS=0.013289 | DRUG_PCL=0.000000 | PROT_PCL=0.013289 | MEAN_GATE=0.3492 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3662 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.199929
  STEP 1100/5739 | TOTAL_LOSS=0.005663 | REG_LOSS=0.005663 | SOFTCLIP_LOSS=1.224457 | PCL_LOSS=0.030687 | DRUG_PCL=0.000011 | PROT_PCL=0.030677 | MEAN_GATE=0.3217 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3489 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.075252
  STEP 1200/5739 | TOTAL_LOSS=0.028184 | REG_LOSS=0.028184 | SOFTCLIP_LOSS=0.855394 | PCL_LOSS=0.391447 | DRUG_PCL=0.001104 | PROT_PCL=0.390344 | MEAN_GATE=0.2142 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3503 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.167882
