Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.343822 | REG_LOSS=0.075081 | SOFTCLIP_LOSS=1.313806 | PCL_LOSS=1.373604 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.274009
  STEP 200/5739 | TOTAL_LOSS=1.571744 | REG_LOSS=1.308835 | SOFTCLIP_LOSS=1.247625 | PCL_LOSS=1.381474 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.144043
  STEP 300/5739 | TOTAL_LOSS=0.444688 | REG_LOSS=0.174983 | SOFTCLIP_LOSS=1.249592 | PCL_LOSS=1.447461 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.418310
  STEP 400/5739 | TOTAL_LOSS=0.610305 | REG_LOSS=0.336408 | SOFTCLIP_LOSS=1.321412 | PCL_LOSS=1.417559 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.580007
  STEP 500/5739 | TOTAL_LOSS=0.473116 | REG_LOSS=0.222679 | SOFTCLIP_LOSS=1.271894 | PCL_LOSS=1.232474 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.471889
  STEP 600/5739 | TOTAL_LOSS=0.685399 | REG_LOSS=0.432262 | SOFTCLIP_LOSS=1.171836 | PCL_LOSS=1.359535 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.657466
  STEP 700/5739 | TOTAL_LOSS=0.449807 | REG_LOSS=0.224672 | SOFTCLIP_LOSS=1.218820 | PCL_LOSS=1.032526 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.473996
  STEP 800/5739 | TOTAL_LOSS=0.456323 | REG_LOSS=0.197862 | SOFTCLIP_LOSS=1.157008 | PCL_LOSS=1.427609 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.444816
  STEP 900/5739 | TOTAL_LOSS=1.243427 | REG_LOSS=1.048817 | SOFTCLIP_LOSS=1.201294 | PCL_LOSS=0.744803 | MEAN_GATE=0.5095 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.024118
  STEP 1000/5739 | TOTAL_LOSS=0.360969 | REG_LOSS=0.140557 | SOFTCLIP_LOSS=1.338354 | PCL_LOSS=0.865773 | MEAN_GATE=0.5147 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.374909
  STEP 1100/5739 | TOTAL_LOSS=2.444080 | REG_LOSS=2.266336 | SOFTCLIP_LOSS=1.089486 | PCL_LOSS=0.687957 | MEAN_GATE=0.5116 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.505436
  STEP 1200/5739 | TOTAL_LOSS=1.436203 | REG_LOSS=1.234825 | SOFTCLIP_LOSS=1.059961 | PCL_LOSS=0.953823 | MEAN_GATE=0.5120 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=1.111227
  STEP 1300/5739 | TOTAL_LOSS=2.125514 | REG_LOSS=1.924211 | SOFTCLIP_LOSS=1.266397 | PCL_LOSS=0.746639 | MEAN_GATE=0.5121 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.387159
