Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344145 | REG_LOSS=0.075021 | SOFTCLIP_LOSS=1.319670 | PCL_LOSS=1.371569 | MEAN_GATE=0.5062 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6055 | DIAG_W=0.50 | BATCH_RMSE=0.273899
  STEP 200/5739 | TOTAL_LOSS=1.570092 | REG_LOSS=1.309026 | SOFTCLIP_LOSS=1.223528 | PCL_LOSS=1.387130 | MEAN_GATE=0.5077 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6338 | DIAG_W=0.50 | BATCH_RMSE=1.144127
  STEP 300/5739 | TOTAL_LOSS=0.446299 | REG_LOSS=0.175534 | SOFTCLIP_LOSS=1.254266 | PCL_LOSS=1.453388 | MEAN_GATE=0.5057 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5678 | DIAG_W=0.50 | BATCH_RMSE=0.418968
  STEP 400/5739 | TOTAL_LOSS=0.605989 | REG_LOSS=0.336217 | SOFTCLIP_LOSS=1.307151 | PCL_LOSS=1.390570 | MEAN_GATE=0.5053 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6247 | DIAG_W=0.50 | BATCH_RMSE=0.579842
  STEP 500/5739 | TOTAL_LOSS=0.480045 | REG_LOSS=0.223855 | SOFTCLIP_LOSS=1.307378 | PCL_LOSS=1.254527 | MEAN_GATE=0.5103 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6649 | DIAG_W=0.50 | BATCH_RMSE=0.473133
  STEP 600/5739 | TOTAL_LOSS=0.686554 | REG_LOSS=0.434009 | SOFTCLIP_LOSS=1.161954 | PCL_LOSS=1.363497 | MEAN_GATE=0.5074 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6880 | DIAG_W=0.50 | BATCH_RMSE=0.658794
  STEP 700/5739 | TOTAL_LOSS=0.462796 | REG_LOSS=0.224998 | SOFTCLIP_LOSS=1.239849 | PCL_LOSS=1.138140 | MEAN_GATE=0.5114 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.6168 | DIAG_W=0.50 | BATCH_RMSE=0.474339
  STEP 800/5739 | TOTAL_LOSS=0.450814 | REG_LOSS=0.197490 | SOFTCLIP_LOSS=1.165771 | PCL_LOSS=1.367468 | MEAN_GATE=0.5072 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6667 | DIAG_W=0.50 | BATCH_RMSE=0.444399
  STEP 900/5739 | TOTAL_LOSS=1.266720 | REG_LOSS=1.048883 | SOFTCLIP_LOSS=1.203769 | PCL_LOSS=0.974604 | MEAN_GATE=0.5055 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.7108 | DIAG_W=0.50 | BATCH_RMSE=1.024150
  STEP 1000/5739 | TOTAL_LOSS=0.366343 | REG_LOSS=0.146236 | SOFTCLIP_LOSS=1.311389 | PCL_LOSS=0.889677 | MEAN_GATE=0.5121 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6721 | DIAG_W=0.50 | BATCH_RMSE=0.382409
  STEP 1100/5739 | TOTAL_LOSS=2.469540 | REG_LOSS=2.279219 | SOFTCLIP_LOSS=1.212426 | PCL_LOSS=0.690784 | MEAN_GATE=0.5070 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.7291 | DIAG_W=0.50 | BATCH_RMSE=1.509708
  STEP 1200/5739 | TOTAL_LOSS=1.502148 | REG_LOSS=1.292256 | SOFTCLIP_LOSS=1.060591 | PCL_LOSS=1.038323 | MEAN_GATE=0.5075 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.7067 | DIAG_W=0.50 | BATCH_RMSE=1.136775
  STEP 1300/5739 | TOTAL_LOSS=2.116993 | REG_LOSS=1.911047 | SOFTCLIP_LOSS=1.302174 | PCL_LOSS=0.757281 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6138 | DIAG_W=0.50 | BATCH_RMSE=1.382406
  STEP 1400/5739 | TOTAL_LOSS=2.088289 | REG_LOSS=1.767768 | SOFTCLIP_LOSS=0.983726 | PCL_LOSS=2.221482 | MEAN_GATE=0.5059 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.6991 | DIAG_W=0.50 | BATCH_RMSE=1.329574
  STEP 1500/5739 | TOTAL_LOSS=0.310283 | REG_LOSS=0.144031 | SOFTCLIP_LOSS=1.162506 | PCL_LOSS=0.500010 | MEAN_GATE=0.5031 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6587 | DIAG_W=0.50 | BATCH_RMSE=0.379515
  STEP 1600/5739 | TOTAL_LOSS=3.334539 | REG_LOSS=3.050203 | SOFTCLIP_LOSS=1.375256 | PCL_LOSS=1.468106 | MEAN_GATE=0.5024 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.7017 | DIAG_W=0.50 | BATCH_RMSE=1.746483
  STEP 1700/5739 | TOTAL_LOSS=0.353562 | REG_LOSS=0.181991 | SOFTCLIP_LOSS=1.142091 | PCL_LOSS=0.573614 | MEAN_GATE=0.5044 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.6668 | DIAG_W=0.50 | BATCH_RMSE=0.426604
