Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344479 | REG_LOSS=0.075078 | SOFTCLIP_LOSS=1.317906 | PCL_LOSS=1.376112 | MEAN_GATE=0.5067 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2426 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.274003
  STEP 200/5739 | TOTAL_LOSS=1.570415 | REG_LOSS=1.308722 | SOFTCLIP_LOSS=1.239085 | PCL_LOSS=1.377849 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3025 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.143994
  STEP 300/5739 | TOTAL_LOSS=0.445050 | REG_LOSS=0.175134 | SOFTCLIP_LOSS=1.248493 | PCL_LOSS=1.450669 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1553 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.418490
  STEP 400/5739 | TOTAL_LOSS=0.608308 | REG_LOSS=0.336172 | SOFTCLIP_LOSS=1.315465 | PCL_LOSS=1.405899 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2808 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.579803
  STEP 500/5739 | TOTAL_LOSS=0.475033 | REG_LOSS=0.222318 | SOFTCLIP_LOSS=1.273121 | PCL_LOSS=1.254026 | MEAN_GATE=0.5129 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3682 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.471506
  STEP 600/5739 | TOTAL_LOSS=0.694306 | REG_LOSS=0.439863 | SOFTCLIP_LOSS=1.168147 | PCL_LOSS=1.376288 | MEAN_GATE=0.5089 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4094 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.663222
  STEP 700/5739 | TOTAL_LOSS=0.452378 | REG_LOSS=0.224576 | SOFTCLIP_LOSS=1.214856 | PCL_LOSS=1.063165 | MEAN_GATE=0.5139 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2641 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.473894
  STEP 800/5739 | TOTAL_LOSS=0.458362 | REG_LOSS=0.197505 | SOFTCLIP_LOSS=1.164828 | PCL_LOSS=1.443743 | MEAN_GATE=0.5091 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3730 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.444415
  STEP 900/5739 | TOTAL_LOSS=1.253319 | REG_LOSS=1.049548 | SOFTCLIP_LOSS=1.196903 | PCL_LOSS=0.840804 | MEAN_GATE=0.5093 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4480 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.024475
  STEP 1000/5739 | TOTAL_LOSS=0.373556 | REG_LOSS=0.143323 | SOFTCLIP_LOSS=1.333944 | PCL_LOSS=0.968385 | MEAN_GATE=0.5145 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3852 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.378581
  STEP 1100/5739 | TOTAL_LOSS=2.449996 | REG_LOSS=2.272850 | SOFTCLIP_LOSS=1.085856 | PCL_LOSS=0.685598 | MEAN_GATE=0.5109 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4914 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.507597
  STEP 1200/5739 | TOTAL_LOSS=1.473609 | REG_LOSS=1.291671 | SOFTCLIP_LOSS=1.049973 | PCL_LOSS=0.769413 | MEAN_GATE=0.5111 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4434 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.136517
  STEP 1300/5739 | TOTAL_LOSS=2.155278 | REG_LOSS=1.918255 | SOFTCLIP_LOSS=1.276294 | PCL_LOSS=1.093934 | MEAN_GATE=0.5112 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2445 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.385011
  STEP 1400/5739 | TOTAL_LOSS=2.069779 | REG_LOSS=1.772739 | SOFTCLIP_LOSS=0.929048 | PCL_LOSS=2.041360 | MEAN_GATE=0.5087 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.4370 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.331442
  STEP 1500/5739 | TOTAL_LOSS=0.319187 | REG_LOSS=0.147663 | SOFTCLIP_LOSS=1.167611 | PCL_LOSS=0.547630 | MEAN_GATE=0.5043 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3575 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.384269
