nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a10_gpu0/latest_model.pt | start_epoch=40 | best_val_rmse=0.570351

EPOCH 40/200
  STEP 100/5739 | TOTAL_LOSS=0.369692 | REG_LOSS=0.244712 | SOFTCLIP_LOSS=1.249316 | PCL_LOSS=0.000492 | MEAN_GATE=0.3219 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3467 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.494683
  STEP 200/5739 | TOTAL_LOSS=0.250032 | REG_LOSS=0.136592 | SOFTCLIP_LOSS=1.133939 | PCL_LOSS=0.000461 | MEAN_GATE=0.3494 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4106 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.369583
  STEP 300/5739 | TOTAL_LOSS=0.116249 | REG_LOSS=0.015853 | SOFTCLIP_LOSS=1.003283 | PCL_LOSS=0.000675 | MEAN_GATE=0.3023 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2206 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.125908
  STEP 400/5739 | TOTAL_LOSS=0.531905 | REG_LOSS=0.395675 | SOFTCLIP_LOSS=1.308525 | PCL_LOSS=0.053767 | MEAN_GATE=0.4332 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3794 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.629027
  STEP 500/5739 | TOTAL_LOSS=0.205318 | REG_LOSS=0.080349 | SOFTCLIP_LOSS=1.249665 | PCL_LOSS=0.000030 | MEAN_GATE=0.3094 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4837 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.283458
  STEP 600/5739 | TOTAL_LOSS=0.746115 | REG_LOSS=0.639214 | SOFTCLIP_LOSS=1.069008 | PCL_LOSS=0.000000 | MEAN_GATE=0.3618 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.5054 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.799509
  STEP 700/5739 | TOTAL_LOSS=0.248798 | REG_LOSS=0.145801 | SOFTCLIP_LOSS=1.029914 | PCL_LOSS=0.000051 | MEAN_GATE=0.3290 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3586 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.381839
  STEP 800/5739 | TOTAL_LOSS=0.136673 | REG_LOSS=0.019702 | SOFTCLIP_LOSS=1.168214 | PCL_LOSS=0.001492 | MEAN_GATE=0.3103 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4917 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.140366
  STEP 900/5739 | TOTAL_LOSS=0.268252 | REG_LOSS=0.156280 | SOFTCLIP_LOSS=0.986306 | PCL_LOSS=0.133419 | MEAN_GATE=0.3092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5326 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.395322
  STEP 1000/5739 | TOTAL_LOSS=0.195004 | REG_LOSS=0.051273 | SOFTCLIP_LOSS=1.329606 | PCL_LOSS=0.107697 | MEAN_GATE=0.3353 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5070 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.226436
  STEP 1100/5739 | TOTAL_LOSS=0.910922 | REG_LOSS=0.822585 | SOFTCLIP_LOSS=0.825988 | PCL_LOSS=0.057375 | MEAN_GATE=0.3510 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.5869 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.906965
  STEP 1200/5739 | TOTAL_LOSS=0.397725 | REG_LOSS=0.308992 | SOFTCLIP_LOSS=0.827101 | PCL_LOSS=0.060234 | MEAN_GATE=0.3373 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.5289 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.555870
  STEP 1300/5739 | TOTAL_LOSS=0.670628 | REG_LOSS=0.570665 | SOFTCLIP_LOSS=0.999615 | PCL_LOSS=0.000008 | MEAN_GATE=0.3524 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2951 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.755424
