Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344821 | REG_LOSS=0.075147 | SOFTCLIP_LOSS=1.319094 | PCL_LOSS=1.377642 | MEAN_GATE=0.5068 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2146 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.274130
  STEP 200/5739 | TOTAL_LOSS=1.570666 | REG_LOSS=1.308467 | SOFTCLIP_LOSS=1.241535 | PCL_LOSS=1.380455 | MEAN_GATE=0.5085 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2692 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.143882
  STEP 300/5739 | TOTAL_LOSS=0.444548 | REG_LOSS=0.175746 | SOFTCLIP_LOSS=1.233456 | PCL_LOSS=1.454570 | MEAN_GATE=0.5082 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1496 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.419220
  STEP 400/5739 | TOTAL_LOSS=0.609599 | REG_LOSS=0.336228 | SOFTCLIP_LOSS=1.321783 | PCL_LOSS=1.411935 | MEAN_GATE=0.5079 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2528 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.579851
  STEP 500/5739 | TOTAL_LOSS=0.475617 | REG_LOSS=0.222935 | SOFTCLIP_LOSS=1.272673 | PCL_LOSS=1.254143 | MEAN_GATE=0.5128 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3254 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.472160
  STEP 600/5739 | TOTAL_LOSS=0.687899 | REG_LOSS=0.432059 | SOFTCLIP_LOSS=1.177051 | PCL_LOSS=1.381348 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3722 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.657312
  STEP 700/5739 | TOTAL_LOSS=0.459096 | REG_LOSS=0.224736 | SOFTCLIP_LOSS=1.225194 | PCL_LOSS=1.118409 | MEAN_GATE=0.5139 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2393 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.474063
  STEP 800/5739 | TOTAL_LOSS=0.453775 | REG_LOSS=0.199167 | SOFTCLIP_LOSS=1.153479 | PCL_LOSS=1.392602 | MEAN_GATE=0.5094 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.446281
  STEP 900/5739 | TOTAL_LOSS=1.264901 | REG_LOSS=1.050418 | SOFTCLIP_LOSS=1.205598 | PCL_LOSS=0.939235 | MEAN_GATE=0.5094 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4233 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.024899
  STEP 1000/5739 | TOTAL_LOSS=0.362838 | REG_LOSS=0.141317 | SOFTCLIP_LOSS=1.337970 | PCL_LOSS=0.877244 | MEAN_GATE=0.5145 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3381 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=0.375921
  STEP 1100/5739 | TOTAL_LOSS=2.455369 | REG_LOSS=2.273139 | SOFTCLIP_LOSS=1.146291 | PCL_LOSS=0.676011 | MEAN_GATE=0.5111 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4582 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.507693
  STEP 1200/5739 | TOTAL_LOSS=1.478857 | REG_LOSS=1.289520 | SOFTCLIP_LOSS=1.059267 | PCL_LOSS=0.834102 | MEAN_GATE=0.5115 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4158 | LBL_TAU=1.00 | LBL_MIX=0.10 | BATCH_RMSE=1.135570
