nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=0.344512 | REG_LOSS=0.075387 | SOFTCLIP_LOSS=1.317439 | PCL_LOSS=1.373807 | MEAN_GATE=0.5068 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2220 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.274568
  STEP 200/5739 | TOTAL_LOSS=1.572121 | REG_LOSS=1.308345 | SOFTCLIP_LOSS=1.251380 | PCL_LOSS=1.386383 | MEAN_GATE=0.5084 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2725 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.143829
  STEP 300/5739 | TOTAL_LOSS=0.445278 | REG_LOSS=0.175196 | SOFTCLIP_LOSS=1.245811 | PCL_LOSS=1.455008 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.1785 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.418565
  STEP 400/5739 | TOTAL_LOSS=0.609020 | REG_LOSS=0.336233 | SOFTCLIP_LOSS=1.317486 | PCL_LOSS=1.410379 | MEAN_GATE=0.5074 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2602 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.579856
  STEP 500/5739 | TOTAL_LOSS=0.476575 | REG_LOSS=0.223601 | SOFTCLIP_LOSS=1.285909 | PCL_LOSS=1.243824 | MEAN_GATE=0.5126 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3162 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.472865
  STEP 600/5739 | TOTAL_LOSS=0.685059 | REG_LOSS=0.431579 | SOFTCLIP_LOSS=1.175956 | PCL_LOSS=1.358839 | MEAN_GATE=0.5090 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3641 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.656947
  STEP 700/5739 | TOTAL_LOSS=0.455178 | REG_LOSS=0.224938 | SOFTCLIP_LOSS=1.238660 | PCL_LOSS=1.063741 | MEAN_GATE=0.5137 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2510 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.474276
  STEP 800/5739 | TOTAL_LOSS=0.451063 | REG_LOSS=0.197958 | SOFTCLIP_LOSS=1.153589 | PCL_LOSS=1.377466 | MEAN_GATE=0.5093 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.444924
  STEP 900/5739 | TOTAL_LOSS=1.264735 | REG_LOSS=1.049946 | SOFTCLIP_LOSS=1.200855 | PCL_LOSS=0.947034 | MEAN_GATE=0.5092 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4265 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.024669
  STEP 1000/5739 | TOTAL_LOSS=0.361422 | REG_LOSS=0.140721 | SOFTCLIP_LOSS=1.334603 | PCL_LOSS=0.872400 | MEAN_GATE=0.5140 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3256 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.375128
  STEP 1100/5739 | TOTAL_LOSS=2.457477 | REG_LOSS=2.271353 | SOFTCLIP_LOSS=1.148551 | PCL_LOSS=0.712692 | MEAN_GATE=0.5112 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4581 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.507101
