nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_labelsim_bs4_ep200_t10_m05_gpu0/latest_model.pt | start_epoch=39 | best_val_rmse=0.546928

EPOCH 39/200
  STEP 100/5739 | TOTAL_LOSS=0.265419 | REG_LOSS=0.138030 | SOFTCLIP_LOSS=1.273896 | PCL_LOSS=0.000000 | MEAN_GATE=0.3427 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2299 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.371524
  STEP 200/5739 | TOTAL_LOSS=0.181183 | REG_LOSS=0.062105 | SOFTCLIP_LOSS=1.190143 | PCL_LOSS=0.000643 | MEAN_GATE=0.3513 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2757 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.249208
  STEP 300/5739 | TOTAL_LOSS=0.233679 | REG_LOSS=0.093606 | SOFTCLIP_LOSS=1.167966 | PCL_LOSS=0.232762 | MEAN_GATE=0.3356 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2088 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.305951
  STEP 400/5739 | TOTAL_LOSS=0.634180 | REG_LOSS=0.491166 | SOFTCLIP_LOSS=1.312355 | PCL_LOSS=0.117788 | MEAN_GATE=0.4006 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2683 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.700832
  STEP 500/5739 | TOTAL_LOSS=0.216887 | REG_LOSS=0.087509 | SOFTCLIP_LOSS=1.293415 | PCL_LOSS=0.000363 | MEAN_GATE=0.3090 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3065 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.295819
  STEP 600/5739 | TOTAL_LOSS=0.635909 | REG_LOSS=0.523550 | SOFTCLIP_LOSS=1.123583 | PCL_LOSS=0.000000 | MEAN_GATE=0.3702 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3558 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.723568
  STEP 700/5739 | TOTAL_LOSS=0.163133 | REG_LOSS=0.043556 | SOFTCLIP_LOSS=1.195772 | PCL_LOSS=0.000002 | MEAN_GATE=0.3018 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2626 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.208700
  STEP 800/5739 | TOTAL_LOSS=0.201944 | REG_LOSS=0.087524 | SOFTCLIP_LOSS=1.144182 | PCL_LOSS=0.000015 | MEAN_GATE=0.3452 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3333 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.295844
  STEP 900/5739 | TOTAL_LOSS=0.393223 | REG_LOSS=0.279646 | SOFTCLIP_LOSS=1.068919 | PCL_LOSS=0.066853 | MEAN_GATE=0.3034 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4298 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.528816
  STEP 1000/5739 | TOTAL_LOSS=0.225552 | REG_LOSS=0.067823 | SOFTCLIP_LOSS=1.338024 | PCL_LOSS=0.239267 | MEAN_GATE=0.3652 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3127 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.260429
  STEP 1100/5739 | TOTAL_LOSS=1.109275 | REG_LOSS=1.004580 | SOFTCLIP_LOSS=0.929044 | PCL_LOSS=0.117901 | MEAN_GATE=0.3301 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4578 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.002288
