Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5739 | TOTAL_LOSS=1.254394 | REG_LOSS=1.006309 | SOFTCLIP_LOSS=1.131207 | PCL_LOSS=1.349643 | MEAN_GATE=0.4877 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4339 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.003150
  STEP 200/5739 | TOTAL_LOSS=0.673898 | REG_LOSS=0.398849 | SOFTCLIP_LOSS=1.326536 | PCL_LOSS=1.423955 | MEAN_GATE=0.4915 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2598 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.631545
  STEP 300/5739 | TOTAL_LOSS=0.425570 | REG_LOSS=0.144261 | SOFTCLIP_LOSS=1.433510 | PCL_LOSS=1.379582 | MEAN_GATE=0.5018 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.1959 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.379817
  STEP 400/5739 | TOTAL_LOSS=0.487265 | REG_LOSS=0.226465 | SOFTCLIP_LOSS=1.223449 | PCL_LOSS=1.384552 | MEAN_GATE=0.5064 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2564 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.475884
  STEP 500/5739 | TOTAL_LOSS=0.798070 | REG_LOSS=0.538855 | SOFTCLIP_LOSS=1.198800 | PCL_LOSS=1.393351 | MEAN_GATE=0.5136 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.1791 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.734067
  STEP 600/5739 | TOTAL_LOSS=0.959506 | REG_LOSS=0.681545 | SOFTCLIP_LOSS=1.373819 | PCL_LOSS=1.405790 | MEAN_GATE=0.5176 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.1874 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.825557
  STEP 700/5739 | TOTAL_LOSS=1.263542 | REG_LOSS=1.017922 | SOFTCLIP_LOSS=1.024893 | PCL_LOSS=1.431307 | MEAN_GATE=0.5188 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.1836 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.008921
  STEP 800/5739 | TOTAL_LOSS=1.333109 | REG_LOSS=1.095611 | SOFTCLIP_LOSS=0.981272 | PCL_LOSS=1.393708 | MEAN_GATE=0.5242 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | MEAN_DIAG_PRIOR_MASS=0.3153 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.046714
  STEP 900/5739 | TOTAL_LOSS=0.771892 | REG_LOSS=0.526368 | SOFTCLIP_LOSS=1.086992 | PCL_LOSS=1.368252 | MEAN_GATE=0.5232 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2616 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.725512
  STEP 1000/5739 | TOTAL_LOSS=1.656597 | REG_LOSS=1.393615 | SOFTCLIP_LOSS=1.248283 | PCL_LOSS=1.381536 | MEAN_GATE=0.5282 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3564 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.180515
  STEP 1100/5739 | TOTAL_LOSS=0.358356 | REG_LOSS=0.086851 | SOFTCLIP_LOSS=1.312020 | PCL_LOSS=1.403024 | MEAN_GATE=0.5285 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2242 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.294706
  STEP 1200/5739 | TOTAL_LOSS=0.478956 | REG_LOSS=0.234271 | SOFTCLIP_LOSS=1.011537 | PCL_LOSS=1.435315 | MEAN_GATE=0.5331 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.2678 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.484016
  STEP 1300/5739 | TOTAL_LOSS=1.444292 | REG_LOSS=1.198972 | SOFTCLIP_LOSS=1.087998 | PCL_LOSS=1.365204 | MEAN_GATE=0.5369 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3476 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.094976
  STEP 1400/5739 | TOTAL_LOSS=1.115475 | REG_LOSS=0.848210 | SOFTCLIP_LOSS=1.221110 | PCL_LOSS=1.451536 | MEAN_GATE=0.5298 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3022 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.920983
  STEP 1500/5739 | TOTAL_LOSS=0.378044 | REG_LOSS=0.176177 | SOFTCLIP_LOSS=0.854299 | PCL_LOSS=1.164367 | MEAN_GATE=0.5320 | MEAN_VALID_PER_ROW=2.50 | MEAN_VALID_OFFDIAG=1.50 | MEAN_DIAG_PRIOR_MASS=0.4526 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.419735
  STEP 1600/5739 | TOTAL_LOSS=0.280479 | REG_LOSS=0.040335 | SOFTCLIP_LOSS=1.245098 | PCL_LOSS=1.156343 | MEAN_GATE=0.5590 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2854 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.200835
  STEP 1700/5739 | TOTAL_LOSS=0.949883 | REG_LOSS=0.689415 | SOFTCLIP_LOSS=1.364656 | PCL_LOSS=1.240020 | MEAN_GATE=0.5492 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2058 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.830310
  STEP 1800/5739 | TOTAL_LOSS=0.891974 | REG_LOSS=0.656463 | SOFTCLIP_LOSS=1.332263 | PCL_LOSS=1.022851 | MEAN_GATE=0.5376 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3841 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.810224
  STEP 1900/5739 | TOTAL_LOSS=0.497253 | REG_LOSS=0.315296 | SOFTCLIP_LOSS=1.223301 | PCL_LOSS=0.596267 | MEAN_GATE=0.5329 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3270 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.561512
  STEP 2000/5739 | TOTAL_LOSS=0.974984 | REG_LOSS=0.764062 | SOFTCLIP_LOSS=1.114910 | PCL_LOSS=0.994308 | MEAN_GATE=0.5354 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2593 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.874106
  STEP 2100/5739 | TOTAL_LOSS=1.095048 | REG_LOSS=0.867791 | SOFTCLIP_LOSS=1.204287 | PCL_LOSS=1.068282 | MEAN_GATE=0.5780 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2438 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.931553
  STEP 2200/5739 | TOTAL_LOSS=0.578228 | REG_LOSS=0.341922 | SOFTCLIP_LOSS=1.303101 | PCL_LOSS=1.059961 | MEAN_GATE=0.5587 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2557 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.584741
  STEP 2300/5739 | TOTAL_LOSS=1.176367 | REG_LOSS=0.976416 | SOFTCLIP_LOSS=1.173722 | PCL_LOSS=0.825780 | MEAN_GATE=0.5616 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4148 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.988138
  STEP 2400/5739 | TOTAL_LOSS=0.596271 | REG_LOSS=0.433189 | SOFTCLIP_LOSS=1.235364 | PCL_LOSS=0.395459 | MEAN_GATE=0.5627 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3243 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.658171
  STEP 2500/5739 | TOTAL_LOSS=1.174828 | REG_LOSS=1.006366 | SOFTCLIP_LOSS=1.259384 | PCL_LOSS=0.425234 | MEAN_GATE=0.5563 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3003 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=1.003178
  STEP 2600/5739 | TOTAL_LOSS=0.560159 | REG_LOSS=0.369648 | SOFTCLIP_LOSS=1.172592 | PCL_LOSS=0.732518 | MEAN_GATE=0.5808 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3106 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.607987
  STEP 2700/5739 | TOTAL_LOSS=0.610274 | REG_LOSS=0.389186 | SOFTCLIP_LOSS=1.213959 | PCL_LOSS=0.996924 | MEAN_GATE=0.5952 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3804 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.623847
  STEP 2800/5739 | TOTAL_LOSS=0.502358 | REG_LOSS=0.282761 | SOFTCLIP_LOSS=0.933166 | PCL_LOSS=1.262798 | MEAN_GATE=0.5595 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.2534 | LBL_TAU=1.00 | LBL_MIX=0.30 | BATCH_RMSE=0.531753
