Using device: cuda
[DavisDatasetP13D] input pairs: 118254
[DavisDatasetP13D] kept pairs : 118254
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 118254
TRAIN SIZE: 94603
VAL SIZE: 23651
SPLIT JSON: data/splits/kiba_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5913 | TOTAL_LOSS=1.508785 | REG_LOSS=1.056007 | SOFTCLIP_LOSS=1.754593 | PCL_LOSS=2.773186 | MEAN_GATE=0.4394 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | MEAN_DIAG_PRIOR_MASS=0.2846 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.027622
  STEP 200/5913 | TOTAL_LOSS=1.526151 | REG_LOSS=1.038836 | SOFTCLIP_LOSS=2.092955 | PCL_LOSS=2.780195 | MEAN_GATE=0.4348 | MEAN_VALID_PER_ROW=8.94 | MEAN_VALID_OFFDIAG=7.94 | MEAN_DIAG_PRIOR_MASS=0.1410 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.019233
  STEP 300/5913 | TOTAL_LOSS=2.432693 | REG_LOSS=1.946347 | SOFTCLIP_LOSS=2.071838 | PCL_LOSS=2.791621 | MEAN_GATE=0.4388 | MEAN_VALID_PER_ROW=8.69 | MEAN_VALID_OFFDIAG=7.69 | MEAN_DIAG_PRIOR_MASS=0.1687 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.395115
  STEP 400/5913 | TOTAL_LOSS=2.483788 | REG_LOSS=1.994472 | SOFTCLIP_LOSS=2.127746 | PCL_LOSS=2.765421 | MEAN_GATE=0.4402 | MEAN_VALID_PER_ROW=9.25 | MEAN_VALID_OFFDIAG=8.25 | MEAN_DIAG_PRIOR_MASS=0.1823 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.412258
  STEP 500/5913 | TOTAL_LOSS=1.029699 | REG_LOSS=0.517009 | SOFTCLIP_LOSS=2.318476 | PCL_LOSS=2.808420 | MEAN_GATE=0.4411 | MEAN_VALID_PER_ROW=10.56 | MEAN_VALID_OFFDIAG=9.56 | MEAN_DIAG_PRIOR_MASS=0.1000 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.719034
  STEP 600/5913 | TOTAL_LOSS=1.391858 | REG_LOSS=0.908984 | SOFTCLIP_LOSS=2.063685 | PCL_LOSS=2.765057 | MEAN_GATE=0.4490 | MEAN_VALID_PER_ROW=8.94 | MEAN_VALID_OFFDIAG=7.94 | MEAN_DIAG_PRIOR_MASS=0.1550 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.953407
  STEP 700/5913 | TOTAL_LOSS=1.212917 | REG_LOSS=0.721740 | SOFTCLIP_LOSS=2.151419 | PCL_LOSS=2.760350 | MEAN_GATE=0.4651 | MEAN_VALID_PER_ROW=9.62 | MEAN_VALID_OFFDIAG=8.62 | MEAN_DIAG_PRIOR_MASS=0.1522 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.849553
  STEP 800/5913 | TOTAL_LOSS=1.057700 | REG_LOSS=0.596875 | SOFTCLIP_LOSS=1.835893 | PCL_LOSS=2.772361 | MEAN_GATE=0.4689 | MEAN_VALID_PER_ROW=7.75 | MEAN_VALID_OFFDIAG=6.75 | MEAN_DIAG_PRIOR_MASS=0.2673 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.772577
  STEP 900/5913 | TOTAL_LOSS=1.054587 | REG_LOSS=0.557963 | SOFTCLIP_LOSS=2.191054 | PCL_LOSS=2.775179 | MEAN_GATE=0.4753 | MEAN_VALID_PER_ROW=9.50 | MEAN_VALID_OFFDIAG=8.50 | MEAN_DIAG_PRIOR_MASS=0.1201 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.746969
  STEP 1000/5913 | TOTAL_LOSS=1.240057 | REG_LOSS=0.775266 | SOFTCLIP_LOSS=1.879855 | PCL_LOSS=2.768057 | MEAN_GATE=0.4779 | MEAN_VALID_PER_ROW=7.81 | MEAN_VALID_OFFDIAG=6.81 | MEAN_DIAG_PRIOR_MASS=0.2619 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.880492
  STEP 1100/5913 | TOTAL_LOSS=1.124178 | REG_LOSS=0.614214 | SOFTCLIP_LOSS=2.312426 | PCL_LOSS=2.787215 | MEAN_GATE=0.4768 | MEAN_VALID_PER_ROW=11.00 | MEAN_VALID_OFFDIAG=10.00 | MEAN_DIAG_PRIOR_MASS=0.1027 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.783718
  STEP 1200/5913 | TOTAL_LOSS=1.819119 | REG_LOSS=1.341086 | SOFTCLIP_LOSS=2.004608 | PCL_LOSS=2.775724 | MEAN_GATE=0.4880 | MEAN_VALID_PER_ROW=8.81 | MEAN_VALID_OFFDIAG=7.81 | MEAN_DIAG_PRIOR_MASS=0.2180 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.158053
  STEP 1300/5913 | TOTAL_LOSS=1.033632 | REG_LOSS=0.567532 | SOFTCLIP_LOSS=1.889959 | PCL_LOSS=2.771043 | MEAN_GATE=0.4937 | MEAN_VALID_PER_ROW=7.75 | MEAN_VALID_OFFDIAG=6.75 | MEAN_DIAG_PRIOR_MASS=0.1878 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.753347
  STEP 1400/5913 | TOTAL_LOSS=1.222121 | REG_LOSS=0.754310 | SOFTCLIP_LOSS=1.896572 | PCL_LOSS=2.781539 | MEAN_GATE=0.4973 | MEAN_VALID_PER_ROW=7.69 | MEAN_VALID_OFFDIAG=6.69 | MEAN_DIAG_PRIOR_MASS=0.1596 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.868510
  STEP 1500/5913 | TOTAL_LOSS=1.123913 | REG_LOSS=0.681030 | SOFTCLIP_LOSS=1.654458 | PCL_LOSS=2.774365 | MEAN_GATE=0.5028 | MEAN_VALID_PER_ROW=6.44 | MEAN_VALID_OFFDIAG=5.44 | MEAN_DIAG_PRIOR_MASS=0.2429 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.825246
  STEP 1600/5913 | TOTAL_LOSS=0.930848 | REG_LOSS=0.457840 | SOFTCLIP_LOSS=1.923287 | PCL_LOSS=2.806797 | MEAN_GATE=0.5081 | MEAN_VALID_PER_ROW=7.94 | MEAN_VALID_OFFDIAG=6.94 | MEAN_DIAG_PRIOR_MASS=0.1970 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.676638
  STEP 1700/5913 | TOTAL_LOSS=1.075729 | REG_LOSS=0.594974 | SOFTCLIP_LOSS=2.030599 | PCL_LOSS=2.776952 | MEAN_GATE=0.5088 | MEAN_VALID_PER_ROW=8.19 | MEAN_VALID_OFFDIAG=7.19 | MEAN_DIAG_PRIOR_MASS=0.1502 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.771346
  STEP 1800/5913 | TOTAL_LOSS=2.227237 | REG_LOSS=1.760659 | SOFTCLIP_LOSS=1.906868 | PCL_LOSS=2.758911 | MEAN_GATE=0.5105 | MEAN_VALID_PER_ROW=7.50 | MEAN_VALID_OFFDIAG=6.50 | MEAN_DIAG_PRIOR_MASS=0.2805 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.326898
  STEP 1900/5913 | TOTAL_LOSS=0.790829 | REG_LOSS=0.346699 | SOFTCLIP_LOSS=1.676590 | PCL_LOSS=2.764708 | MEAN_GATE=0.5159 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | MEAN_DIAG_PRIOR_MASS=0.2761 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.588812
  STEP 2000/5913 | TOTAL_LOSS=1.440460 | REG_LOSS=0.975679 | SOFTCLIP_LOSS=1.871266 | PCL_LOSS=2.776543 | MEAN_GATE=0.5180 | MEAN_VALID_PER_ROW=7.81 | MEAN_VALID_OFFDIAG=6.81 | MEAN_DIAG_PRIOR_MASS=0.2594 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.987765
  STEP 2100/5913 | TOTAL_LOSS=1.358357 | REG_LOSS=0.870595 | SOFTCLIP_LOSS=2.134917 | PCL_LOSS=2.742697 | MEAN_GATE=0.5235 | MEAN_VALID_PER_ROW=9.38 | MEAN_VALID_OFFDIAG=8.38 | MEAN_DIAG_PRIOR_MASS=0.1225 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.933057
