Using device: cuda
[DavisDatasetP13D] input pairs: 118254
[DavisDatasetP13D] kept pairs : 118254
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 118254
TRAIN SIZE: 94603
VAL SIZE: 23651
SPLIT JSON: data/splits/kiba_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 100/5913 | TOTAL_LOSS=1.809187 | REG_LOSS=1.367410 | SOFTCLIP_LOSS=1.681712 | PCL_LOSS=2.736057 | MEAN_GATE=0.5355 | MEAN_VALID_PER_ROW=6.56 | MEAN_VALID_OFFDIAG=5.56 | MEAN_DIAG_PRIOR_MASS=0.3235 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.169363
  STEP 200/5913 | TOTAL_LOSS=1.451170 | REG_LOSS=0.961307 | SOFTCLIP_LOSS=2.139196 | PCL_LOSS=2.759433 | MEAN_GATE=0.5360 | MEAN_VALID_PER_ROW=9.31 | MEAN_VALID_OFFDIAG=8.31 | MEAN_DIAG_PRIOR_MASS=0.1749 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.980463
  STEP 300/5913 | TOTAL_LOSS=1.790747 | REG_LOSS=1.326176 | SOFTCLIP_LOSS=1.897638 | PCL_LOSS=2.748067 | MEAN_GATE=0.5391 | MEAN_VALID_PER_ROW=7.56 | MEAN_VALID_OFFDIAG=6.56 | MEAN_DIAG_PRIOR_MASS=0.1445 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.151597
  STEP 400/5913 | TOTAL_LOSS=1.664852 | REG_LOSS=1.159378 | SOFTCLIP_LOSS=2.279691 | PCL_LOSS=2.775047 | MEAN_GATE=0.5481 | MEAN_VALID_PER_ROW=10.50 | MEAN_VALID_OFFDIAG=9.50 | MEAN_DIAG_PRIOR_MASS=0.1327 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.076744
  STEP 500/5913 | TOTAL_LOSS=1.325876 | REG_LOSS=0.836934 | SOFTCLIP_LOSS=2.119554 | PCL_LOSS=2.769862 | MEAN_GATE=0.5494 | MEAN_VALID_PER_ROW=9.12 | MEAN_VALID_OFFDIAG=8.12 | MEAN_DIAG_PRIOR_MASS=0.1589 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.914841
  STEP 600/5913 | TOTAL_LOSS=1.360918 | REG_LOSS=0.890666 | SOFTCLIP_LOSS=1.916839 | PCL_LOSS=2.785676 | MEAN_GATE=0.5535 | MEAN_VALID_PER_ROW=8.25 | MEAN_VALID_OFFDIAG=7.25 | MEAN_DIAG_PRIOR_MASS=0.2958 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.943751
  STEP 700/5913 | TOTAL_LOSS=1.346397 | REG_LOSS=0.866702 | SOFTCLIP_LOSS=2.019173 | PCL_LOSS=2.777771 | MEAN_GATE=0.5586 | MEAN_VALID_PER_ROW=8.12 | MEAN_VALID_OFFDIAG=7.12 | MEAN_DIAG_PRIOR_MASS=0.1883 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.930968
  STEP 800/5913 | TOTAL_LOSS=0.925317 | REG_LOSS=0.462673 | SOFTCLIP_LOSS=1.861883 | PCL_LOSS=2.764564 | MEAN_GATE=0.5619 | MEAN_VALID_PER_ROW=7.62 | MEAN_VALID_OFFDIAG=6.62 | MEAN_DIAG_PRIOR_MASS=0.2738 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.680201
  STEP 900/5913 | TOTAL_LOSS=1.051505 | REG_LOSS=0.575900 | SOFTCLIP_LOSS=1.975562 | PCL_LOSS=2.780486 | MEAN_GATE=0.5641 | MEAN_VALID_PER_ROW=8.38 | MEAN_VALID_OFFDIAG=7.38 | MEAN_DIAG_PRIOR_MASS=0.1659 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.758881
  STEP 1000/5913 | TOTAL_LOSS=1.361279 | REG_LOSS=0.884652 | SOFTCLIP_LOSS=1.981745 | PCL_LOSS=2.784519 | MEAN_GATE=0.5649 | MEAN_VALID_PER_ROW=8.44 | MEAN_VALID_OFFDIAG=7.44 | MEAN_DIAG_PRIOR_MASS=0.2411 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.940560
  STEP 1100/5913 | TOTAL_LOSS=1.086781 | REG_LOSS=0.593398 | SOFTCLIP_LOSS=2.150232 | PCL_LOSS=2.783593 | MEAN_GATE=0.5671 | MEAN_VALID_PER_ROW=9.56 | MEAN_VALID_OFFDIAG=8.56 | MEAN_DIAG_PRIOR_MASS=0.1403 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.770324
