Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 100/5739 | TOTAL_LOSS=1.763940 | REG_LOSS=1.621222 | PCL_LOSS=1.427181 | MEAN_GATE=0.5108 | BATCH_RMSE=1.273272
  STEP 200/5739 | TOTAL_LOSS=0.849144 | REG_LOSS=0.709309 | PCL_LOSS=1.398360 | MEAN_GATE=0.5097 | BATCH_RMSE=0.842205
  STEP 300/5739 | TOTAL_LOSS=0.808764 | REG_LOSS=0.668968 | PCL_LOSS=1.397957 | MEAN_GATE=0.5144 | BATCH_RMSE=0.817905
  STEP 400/5739 | TOTAL_LOSS=0.431800 | REG_LOSS=0.293814 | PCL_LOSS=1.379867 | MEAN_GATE=0.5122 | BATCH_RMSE=0.542046
  STEP 500/5739 | TOTAL_LOSS=1.108433 | REG_LOSS=0.964366 | PCL_LOSS=1.440668 | MEAN_GATE=0.5224 | BATCH_RMSE=0.982022
  STEP 600/5739 | TOTAL_LOSS=3.273267 | REG_LOSS=3.158118 | PCL_LOSS=1.151493 | MEAN_GATE=0.5136 | BATCH_RMSE=1.777109
  STEP 700/5739 | TOTAL_LOSS=0.194051 | REG_LOSS=0.078849 | PCL_LOSS=1.152017 | MEAN_GATE=0.5173 | BATCH_RMSE=0.280802
  STEP 800/5739 | TOTAL_LOSS=0.346174 | REG_LOSS=0.232139 | PCL_LOSS=1.140357 | MEAN_GATE=0.5072 | BATCH_RMSE=0.481808
  STEP 900/5739 | TOTAL_LOSS=2.960909 | REG_LOSS=2.839024 | PCL_LOSS=1.218848 | MEAN_GATE=0.5154 | BATCH_RMSE=1.684940
  STEP 1000/5739 | TOTAL_LOSS=0.141615 | REG_LOSS=0.066451 | PCL_LOSS=0.751636 | MEAN_GATE=0.5133 | BATCH_RMSE=0.257781
  STEP 1100/5739 | TOTAL_LOSS=1.664216 | REG_LOSS=1.592334 | PCL_LOSS=0.718824 | MEAN_GATE=0.5129 | BATCH_RMSE=1.261877
  STEP 1200/5739 | TOTAL_LOSS=0.586669 | REG_LOSS=0.536623 | PCL_LOSS=0.500460 | MEAN_GATE=0.5107 | BATCH_RMSE=0.732546
  STEP 1300/5739 | TOTAL_LOSS=1.992019 | REG_LOSS=1.945943 | PCL_LOSS=0.460758 | MEAN_GATE=0.5143 | BATCH_RMSE=1.394971
  STEP 1400/5739 | TOTAL_LOSS=0.992856 | REG_LOSS=0.939301 | PCL_LOSS=0.535552 | MEAN_GATE=0.5141 | BATCH_RMSE=0.969176
  STEP 1500/5739 | TOTAL_LOSS=0.159495 | REG_LOSS=0.017808 | PCL_LOSS=1.416872 | MEAN_GATE=0.5062 | BATCH_RMSE=0.133447
  STEP 1600/5739 | TOTAL_LOSS=1.374197 | REG_LOSS=1.331829 | PCL_LOSS=0.423675 | MEAN_GATE=0.5105 | BATCH_RMSE=1.154049
  STEP 1700/5739 | TOTAL_LOSS=0.686603 | REG_LOSS=0.600150 | PCL_LOSS=0.864532 | MEAN_GATE=0.5107 | BATCH_RMSE=0.774694
  STEP 1800/5739 | TOTAL_LOSS=3.558041 | REG_LOSS=3.458757 | PCL_LOSS=0.992842 | MEAN_GATE=0.5080 | BATCH_RMSE=1.859773
  STEP 1900/5739 | TOTAL_LOSS=0.204352 | REG_LOSS=0.110786 | PCL_LOSS=0.935665 | MEAN_GATE=0.5046 | BATCH_RMSE=0.332845
  STEP 2000/5739 | TOTAL_LOSS=0.768510 | REG_LOSS=0.587815 | PCL_LOSS=1.806947 | MEAN_GATE=0.5014 | BATCH_RMSE=0.766691
  STEP 2100/5739 | TOTAL_LOSS=2.555237 | REG_LOSS=2.481828 | PCL_LOSS=0.734090 | MEAN_GATE=0.5045 | BATCH_RMSE=1.575382
  STEP 2200/5739 | TOTAL_LOSS=0.707027 | REG_LOSS=0.629495 | PCL_LOSS=0.775317 | MEAN_GATE=0.5001 | BATCH_RMSE=0.793407
  STEP 2300/5739 | TOTAL_LOSS=0.462214 | REG_LOSS=0.437414 | PCL_LOSS=0.248007 | MEAN_GATE=0.5017 | BATCH_RMSE=0.661373
  STEP 2400/5739 | TOTAL_LOSS=1.007878 | REG_LOSS=0.907843 | PCL_LOSS=1.000351 | MEAN_GATE=0.5022 | BATCH_RMSE=0.952808
  STEP 2500/5739 | TOTAL_LOSS=4.946664 | REG_LOSS=4.860020 | PCL_LOSS=0.866445 | MEAN_GATE=0.5107 | BATCH_RMSE=2.204545
  STEP 2600/5739 | TOTAL_LOSS=0.307640 | REG_LOSS=0.268508 | PCL_LOSS=0.391319 | MEAN_GATE=0.5062 | BATCH_RMSE=0.518178
  STEP 2700/5739 | TOTAL_LOSS=0.506590 | REG_LOSS=0.367399 | PCL_LOSS=1.391909 | MEAN_GATE=0.4977 | BATCH_RMSE=0.606134
  STEP 2800/5739 | TOTAL_LOSS=0.220739 | REG_LOSS=0.142841 | PCL_LOSS=0.778983 | MEAN_GATE=0.5041 | BATCH_RMSE=0.377943
  STEP 2900/5739 | TOTAL_LOSS=0.159189 | REG_LOSS=0.087937 | PCL_LOSS=0.712524 | MEAN_GATE=0.5030 | BATCH_RMSE=0.296542
  STEP 3000/5739 | TOTAL_LOSS=1.236078 | REG_LOSS=1.183686 | PCL_LOSS=0.523916 | MEAN_GATE=0.4961 | BATCH_RMSE=1.087973
  STEP 3100/5739 | TOTAL_LOSS=0.658395 | REG_LOSS=0.601608 | PCL_LOSS=0.567869 | MEAN_GATE=0.5085 | BATCH_RMSE=0.775634
  STEP 3200/5739 | TOTAL_LOSS=0.293234 | REG_LOSS=0.221716 | PCL_LOSS=0.715175 | MEAN_GATE=0.5064 | BATCH_RMSE=0.470868
  STEP 3300/5739 | TOTAL_LOSS=0.145547 | REG_LOSS=0.063957 | PCL_LOSS=0.815892 | MEAN_GATE=0.4960 | BATCH_RMSE=0.252898
