SWEEP START: 2026-04-18T06:49:02.530100
SWEEP DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902


====================================================================================================
[RUN 1/5] bs2_lr0.0003_lp0.1_temp0.07
START: 2026-04-18T06:49:02.530395
OUTPUT_DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07
COMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_pcl 0.1 --temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42
====================================================================================================
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 100/11478 | TOTAL_LOSS=0.301075 | REG_LOSS=0.229882 | PCL_LOSS=0.711929 | MEAN_GATE=0.5181 | BATCH_RMSE=0.479461
  STEP 200/11478 | TOTAL_LOSS=0.110545 | REG_LOSS=0.042665 | PCL_LOSS=0.678799 | MEAN_GATE=0.5162 | BATCH_RMSE=0.206555
  STEP 300/11478 | TOTAL_LOSS=0.611089 | REG_LOSS=0.541084 | PCL_LOSS=0.700051 | MEAN_GATE=0.5180 | BATCH_RMSE=0.735584
  STEP 400/11478 | TOTAL_LOSS=1.971445 | REG_LOSS=1.889732 | PCL_LOSS=0.817134 | MEAN_GATE=0.5107 | BATCH_RMSE=1.374675
  STEP 500/11478 | TOTAL_LOSS=0.834540 | REG_LOSS=0.762793 | PCL_LOSS=0.717470 | MEAN_GATE=0.5139 | BATCH_RMSE=0.873380
  STEP 600/11478 | TOTAL_LOSS=1.221510 | REG_LOSS=1.169296 | PCL_LOSS=0.522137 | MEAN_GATE=0.5185 | BATCH_RMSE=1.081340
  STEP 700/11478 | TOTAL_LOSS=0.926544 | REG_LOSS=0.856492 | PCL_LOSS=0.700517 | MEAN_GATE=0.5117 | BATCH_RMSE=0.925469
  STEP 800/11478 | TOTAL_LOSS=0.626657 | REG_LOSS=0.553939 | PCL_LOSS=0.727173 | MEAN_GATE=0.5084 | BATCH_RMSE=0.744271
  STEP 900/11478 | TOTAL_LOSS=0.350411 | REG_LOSS=0.282363 | PCL_LOSS=0.680477 | MEAN_GATE=0.5102 | BATCH_RMSE=0.531379
  STEP 1000/11478 | TOTAL_LOSS=0.139606 | REG_LOSS=0.068534 | PCL_LOSS=0.710716 | MEAN_GATE=0.5122 | BATCH_RMSE=0.261791
  STEP 1100/11478 | TOTAL_LOSS=0.104234 | REG_LOSS=0.054583 | PCL_LOSS=0.496505 | MEAN_GATE=0.5221 | BATCH_RMSE=0.233631
