Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/2870 | TOTAL_LOSS=1.155165 | REG_LOSS=0.762123 | SOFTCLIP_LOSS=1.845255 | PCL_LOSS=2.085156 | MEAN_GATE=0.5070 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.872997
  STEP 200/2870 | TOTAL_LOSS=0.752901 | REG_LOSS=0.349629 | SOFTCLIP_LOSS=1.876952 | PCL_LOSS=2.155767 | MEAN_GATE=0.5097 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=0.591294
  STEP 300/2870 | TOTAL_LOSS=2.433120 | REG_LOSS=2.031355 | SOFTCLIP_LOSS=1.972699 | PCL_LOSS=2.044951 | MEAN_GATE=0.5149 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.425256
  STEP 400/2870 | TOTAL_LOSS=1.154289 | REG_LOSS=0.749442 | SOFTCLIP_LOSS=1.853799 | PCL_LOSS=2.194672 | MEAN_GATE=0.5204 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.865703
  STEP 500/2870 | TOTAL_LOSS=0.706564 | REG_LOSS=0.371528 | SOFTCLIP_LOSS=1.934475 | PCL_LOSS=1.415877 | MEAN_GATE=0.5216 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.609531
  STEP 600/2870 | TOTAL_LOSS=1.247676 | REG_LOSS=0.885463 | SOFTCLIP_LOSS=1.854962 | PCL_LOSS=1.767164 | MEAN_GATE=0.5258 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.940991
  STEP 700/2870 | TOTAL_LOSS=1.787909 | REG_LOSS=1.398477 | SOFTCLIP_LOSS=1.813546 | PCL_LOSS=2.080771 | MEAN_GATE=0.5267 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=1.182572
  STEP 800/2870 | TOTAL_LOSS=2.321912 | REG_LOSS=1.961929 | SOFTCLIP_LOSS=1.985032 | PCL_LOSS=1.614798 | MEAN_GATE=0.5181 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=1.400689
  STEP 900/2870 | TOTAL_LOSS=0.540469 | REG_LOSS=0.198108 | SOFTCLIP_LOSS=1.914410 | PCL_LOSS=1.509194 | MEAN_GATE=0.5291 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.445094
  STEP 1000/2870 | TOTAL_LOSS=2.360629 | REG_LOSS=2.079100 | SOFTCLIP_LOSS=1.715020 | PCL_LOSS=1.100268 | MEAN_GATE=0.5276 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.441908
  STEP 1100/2870 | TOTAL_LOSS=0.867466 | REG_LOSS=0.571344 | SOFTCLIP_LOSS=1.891695 | PCL_LOSS=1.069522 | MEAN_GATE=0.5368 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.755873
  STEP 1200/2870 | TOTAL_LOSS=0.709804 | REG_LOSS=0.410699 | SOFTCLIP_LOSS=1.899593 | PCL_LOSS=1.091452 | MEAN_GATE=0.5360 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.640858
  STEP 1300/2870 | TOTAL_LOSS=2.297683 | REG_LOSS=1.979003 | SOFTCLIP_LOSS=1.741286 | PCL_LOSS=1.445512 | MEAN_GATE=0.5335 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=1.406770
  STEP 1400/2870 | TOTAL_LOSS=0.454225 | REG_LOSS=0.185639 | SOFTCLIP_LOSS=1.856597 | PCL_LOSS=0.829271 | MEAN_GATE=0.5219 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.430858
  STEP 1500/2870 | TOTAL_LOSS=0.715298 | REG_LOSS=0.441743 | SOFTCLIP_LOSS=1.865762 | PCL_LOSS=0.869793 | MEAN_GATE=0.5226 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.664637
  STEP 1600/2870 | TOTAL_LOSS=2.632293 | REG_LOSS=2.375816 | SOFTCLIP_LOSS=1.783740 | PCL_LOSS=0.781025 | MEAN_GATE=0.5214 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.541368
  STEP 1700/2870 | TOTAL_LOSS=0.958144 | REG_LOSS=0.712928 | SOFTCLIP_LOSS=1.739003 | PCL_LOSS=0.713163 | MEAN_GATE=0.5238 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.844350
  STEP 1800/2870 | TOTAL_LOSS=1.239200 | REG_LOSS=0.968403 | SOFTCLIP_LOSS=1.833406 | PCL_LOSS=0.874556 | MEAN_GATE=0.5363 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.984075
  STEP 1900/2870 | TOTAL_LOSS=0.799673 | REG_LOSS=0.516005 | SOFTCLIP_LOSS=1.854097 | PCL_LOSS=0.982579 | MEAN_GATE=0.5189 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.718335
  STEP 2000/2870 | TOTAL_LOSS=0.658210 | REG_LOSS=0.375989 | SOFTCLIP_LOSS=1.855053 | PCL_LOSS=0.967159 | MEAN_GATE=0.5349 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.613179
  STEP 2100/2870 | TOTAL_LOSS=0.607752 | REG_LOSS=0.349353 | SOFTCLIP_LOSS=1.864906 | PCL_LOSS=0.719085 | MEAN_GATE=0.5106 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.591061
  STEP 2200/2870 | TOTAL_LOSS=0.671376 | REG_LOSS=0.413415 | SOFTCLIP_LOSS=1.714998 | PCL_LOSS=0.864619 | MEAN_GATE=0.5156 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=0.642973
  STEP 2300/2870 | TOTAL_LOSS=0.469361 | REG_LOSS=0.217543 | SOFTCLIP_LOSS=1.798696 | PCL_LOSS=0.719485 | MEAN_GATE=0.5209 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.466415
