Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + affinity-aware soft CLIP

EPOCH 1/30
  STEP 100/2870 | TOTAL_LOSS=0.707387 | REG_LOSS=0.516058 | SOFTCLIP_LOSS=1.913284 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.718372
  STEP 200/2870 | TOTAL_LOSS=0.431457 | REG_LOSS=0.254202 | SOFTCLIP_LOSS=1.772556 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=0.504184
  STEP 300/2870 | TOTAL_LOSS=3.458743 | REG_LOSS=3.264227 | SOFTCLIP_LOSS=1.945156 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=1.806717
  STEP 400/2870 | TOTAL_LOSS=0.463780 | REG_LOSS=0.276871 | SOFTCLIP_LOSS=1.869086 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.526186
  STEP 500/2870 | TOTAL_LOSS=1.002357 | REG_LOSS=0.815677 | SOFTCLIP_LOSS=1.866798 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.903148
  STEP 600/2870 | TOTAL_LOSS=0.536879 | REG_LOSS=0.360215 | SOFTCLIP_LOSS=1.766641 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.600179
  STEP 700/2870 | TOTAL_LOSS=1.638206 | REG_LOSS=1.459886 | SOFTCLIP_LOSS=1.783198 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.208257
  STEP 800/2870 | TOTAL_LOSS=0.317067 | REG_LOSS=0.137492 | SOFTCLIP_LOSS=1.795742 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.370800
  STEP 900/2870 | TOTAL_LOSS=1.565932 | REG_LOSS=1.376182 | SOFTCLIP_LOSS=1.897499 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=1.173108
  STEP 1000/2870 | TOTAL_LOSS=1.698278 | REG_LOSS=1.519558 | SOFTCLIP_LOSS=1.787201 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=1.232704
  STEP 1100/2870 | TOTAL_LOSS=0.740267 | REG_LOSS=0.560014 | SOFTCLIP_LOSS=1.802528 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.748341
  STEP 1200/2870 | TOTAL_LOSS=2.553483 | REG_LOSS=2.366149 | SOFTCLIP_LOSS=1.873345 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=1.538229
  STEP 1300/2870 | TOTAL_LOSS=0.499009 | REG_LOSS=0.323345 | SOFTCLIP_LOSS=1.756633 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.568635
  STEP 1400/2870 | TOTAL_LOSS=2.071640 | REG_LOSS=1.876005 | SOFTCLIP_LOSS=1.956354 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=1.369673
  STEP 1500/2870 | TOTAL_LOSS=0.625997 | REG_LOSS=0.447420 | SOFTCLIP_LOSS=1.785768 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.668894
  STEP 1600/2870 | TOTAL_LOSS=2.178821 | REG_LOSS=1.993111 | SOFTCLIP_LOSS=1.857099 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.411776
  STEP 1700/2870 | TOTAL_LOSS=0.426041 | REG_LOSS=0.242659 | SOFTCLIP_LOSS=1.833819 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.492604
  STEP 1800/2870 | TOTAL_LOSS=0.426133 | REG_LOSS=0.240595 | SOFTCLIP_LOSS=1.855383 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.490505
  STEP 1900/2870 | TOTAL_LOSS=0.790768 | REG_LOSS=0.606242 | SOFTCLIP_LOSS=1.845257 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.778616
  STEP 2000/2870 | TOTAL_LOSS=0.489793 | REG_LOSS=0.302135 | SOFTCLIP_LOSS=1.876578 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.549668
  STEP 2100/2870 | TOTAL_LOSS=0.818557 | REG_LOSS=0.623657 | SOFTCLIP_LOSS=1.948992 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.789720
  STEP 2200/2870 | TOTAL_LOSS=0.445026 | REG_LOSS=0.279298 | SOFTCLIP_LOSS=1.657281 | MEAN_VALID_PER_ROW=5.62 | MEAN_VALID_OFFDIAG=4.62 | BATCH_RMSE=0.528487
  STEP 2300/2870 | TOTAL_LOSS=0.689977 | REG_LOSS=0.508573 | SOFTCLIP_LOSS=1.814043 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.713143
  STEP 2400/2870 | TOTAL_LOSS=0.238556 | REG_LOSS=0.059503 | SOFTCLIP_LOSS=1.790536 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.243932
  STEP 2500/2870 | TOTAL_LOSS=2.131007 | REG_LOSS=1.941477 | SOFTCLIP_LOSS=1.895308 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.393369
  STEP 2600/2870 | TOTAL_LOSS=1.144033 | REG_LOSS=0.968070 | SOFTCLIP_LOSS=1.759635 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.983905
  STEP 2700/2870 | TOTAL_LOSS=0.589188 | REG_LOSS=0.418694 | SOFTCLIP_LOSS=1.704934 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.647066
  STEP 2800/2870 | TOTAL_LOSS=0.954039 | REG_LOSS=0.775343 | SOFTCLIP_LOSS=1.786966 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.880535
[EPOCH 001/030] TRAIN: TOTAL=1.070537 | REG=0.887933 | SOFTCLIP=1.826048 | RMSE=0.942302 | MAE=0.639017 | CI=0.679887 | RM2=0.087792
[EPOCH 001/030] VAL  : TOTAL=0.647064 | REG=0.568059 | SOFTCLIP=0.790041 | RMSE=0.753697 | MAE=0.491873 | CI=0.775803 | RM2=0.275387
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.753697 | BEST_VAL_MAE=0.491873 | BEST_VAL_CI=0.775803 | BEST_VAL_RM2=0.275387

EPOCH 2/30
  STEP 100/2870 | TOTAL_LOSS=0.416040 | REG_LOSS=0.222542 | SOFTCLIP_LOSS=1.934981 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.471743
  STEP 200/2870 | TOTAL_LOSS=1.068141 | REG_LOSS=0.873147 | SOFTCLIP_LOSS=1.949933 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=0.934424
  STEP 300/2870 | TOTAL_LOSS=0.470507 | REG_LOSS=0.284962 | SOFTCLIP_LOSS=1.855449 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.533819
  STEP 400/2870 | TOTAL_LOSS=1.057998 | REG_LOSS=0.887745 | SOFTCLIP_LOSS=1.702523 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.942202
