Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + stdclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/5739 | TOTAL_LOSS=0.350576 | REG_LOSS=0.075384 | STDCLIP_LOSS=1.375158 | PCL_LOSS=1.376766 | MEAN_GATE=0.5063 | BATCH_RMSE=0.274561
  STEP 200/5739 | TOTAL_LOSS=1.579019 | REG_LOSS=1.308711 | STDCLIP_LOSS=1.320521 | PCL_LOSS=1.382560 | MEAN_GATE=0.5078 | BATCH_RMSE=1.143989
  STEP 300/5739 | TOTAL_LOSS=0.458705 | REG_LOSS=0.175545 | STDCLIP_LOSS=1.391679 | PCL_LOSS=1.439925 | MEAN_GATE=0.5070 | BATCH_RMSE=0.418981
  STEP 400/5739 | TOTAL_LOSS=0.613252 | REG_LOSS=0.336020 | STDCLIP_LOSS=1.363965 | PCL_LOSS=1.408349 | MEAN_GATE=0.5064 | BATCH_RMSE=0.579673
  STEP 500/5739 | TOTAL_LOSS=0.489536 | REG_LOSS=0.222539 | STDCLIP_LOSS=1.394038 | PCL_LOSS=1.275933 | MEAN_GATE=0.5109 | BATCH_RMSE=0.471741
  STEP 600/5739 | TOTAL_LOSS=0.716354 | REG_LOSS=0.433708 | STDCLIP_LOSS=1.463271 | PCL_LOSS=1.363184 | MEAN_GATE=0.5080 | BATCH_RMSE=0.658565
  STEP 700/5739 | TOTAL_LOSS=0.477348 | REG_LOSS=0.223484 | STDCLIP_LOSS=1.359213 | PCL_LOSS=1.179424 | MEAN_GATE=0.5116 | BATCH_RMSE=0.472741
  STEP 800/5739 | TOTAL_LOSS=0.470285 | REG_LOSS=0.197580 | STDCLIP_LOSS=1.386338 | PCL_LOSS=1.340710 | MEAN_GATE=0.5072 | BATCH_RMSE=0.444499
  STEP 900/5739 | TOTAL_LOSS=1.276878 | REG_LOSS=1.047926 | STDCLIP_LOSS=1.382987 | PCL_LOSS=0.906534 | MEAN_GATE=0.5060 | BATCH_RMSE=1.023682
  STEP 1000/5739 | TOTAL_LOSS=0.375550 | REG_LOSS=0.145161 | STDCLIP_LOSS=1.394638 | PCL_LOSS=0.909255 | MEAN_GATE=0.5119 | BATCH_RMSE=0.381000
  STEP 1100/5739 | TOTAL_LOSS=2.491755 | REG_LOSS=2.282048 | STDCLIP_LOSS=1.400378 | PCL_LOSS=0.696692 | MEAN_GATE=0.5071 | BATCH_RMSE=1.510645
  STEP 1200/5739 | TOTAL_LOSS=1.518959 | REG_LOSS=1.290727 | STDCLIP_LOSS=1.414564 | PCL_LOSS=0.867759 | MEAN_GATE=0.5076 | BATCH_RMSE=1.136102
  STEP 1300/5739 | TOTAL_LOSS=2.122279 | REG_LOSS=1.912634 | STDCLIP_LOSS=1.390350 | PCL_LOSS=0.706101 | MEAN_GATE=0.5067 | BATCH_RMSE=1.382980
  STEP 1400/5739 | TOTAL_LOSS=2.116329 | REG_LOSS=1.762662 | STDCLIP_LOSS=1.391518 | PCL_LOSS=2.145154 | MEAN_GATE=0.5059 | BATCH_RMSE=1.327653
  STEP 1500/5739 | TOTAL_LOSS=0.347997 | REG_LOSS=0.154875 | STDCLIP_LOSS=1.399708 | PCL_LOSS=0.531510 | MEAN_GATE=0.5032 | BATCH_RMSE=0.393542
  STEP 1600/5739 | TOTAL_LOSS=3.332751 | REG_LOSS=3.044276 | STDCLIP_LOSS=1.379655 | PCL_LOSS=1.505095 | MEAN_GATE=0.5028 | BATCH_RMSE=1.744785
  STEP 1700/5739 | TOTAL_LOSS=0.373716 | REG_LOSS=0.180578 | STDCLIP_LOSS=1.373120 | PCL_LOSS=0.558267 | MEAN_GATE=0.5048 | BATCH_RMSE=0.424944
  STEP 1800/5739 | TOTAL_LOSS=0.337302 | REG_LOSS=0.128434 | STDCLIP_LOSS=1.389209 | PCL_LOSS=0.699476 | MEAN_GATE=0.5106 | BATCH_RMSE=0.358376
  STEP 1900/5739 | TOTAL_LOSS=1.018950 | REG_LOSS=0.851843 | STDCLIP_LOSS=1.362882 | PCL_LOSS=0.308187 | MEAN_GATE=0.5066 | BATCH_RMSE=0.922953
  STEP 2000/5739 | TOTAL_LOSS=2.637905 | REG_LOSS=2.439856 | STDCLIP_LOSS=1.324765 | PCL_LOSS=0.655717 | MEAN_GATE=0.5048 | BATCH_RMSE=1.562004
  STEP 2100/5739 | TOTAL_LOSS=3.854225 | REG_LOSS=3.652448 | STDCLIP_LOSS=1.434476 | PCL_LOSS=0.583297 | MEAN_GATE=0.5043 | BATCH_RMSE=1.911138
  STEP 2200/5739 | TOTAL_LOSS=1.072174 | REG_LOSS=0.845024 | STDCLIP_LOSS=1.376208 | PCL_LOSS=0.895299 | MEAN_GATE=0.5122 | BATCH_RMSE=0.919252
  STEP 2300/5739 | TOTAL_LOSS=0.635659 | REG_LOSS=0.391556 | STDCLIP_LOSS=1.422350 | PCL_LOSS=1.018676 | MEAN_GATE=0.5033 | BATCH_RMSE=0.625744
  STEP 2400/5739 | TOTAL_LOSS=0.551605 | REG_LOSS=0.342038 | STDCLIP_LOSS=1.401883 | PCL_LOSS=0.693785 | MEAN_GATE=0.5076 | BATCH_RMSE=0.584840
  STEP 2500/5739 | TOTAL_LOSS=0.446291 | REG_LOSS=0.224812 | STDCLIP_LOSS=1.398915 | PCL_LOSS=0.815871 | MEAN_GATE=0.5030 | BATCH_RMSE=0.474144
  STEP 2600/5739 | TOTAL_LOSS=3.301287 | REG_LOSS=3.071547 | STDCLIP_LOSS=1.393322 | PCL_LOSS=0.904081 | MEAN_GATE=0.5056 | BATCH_RMSE=1.752583
  STEP 2700/5739 | TOTAL_LOSS=1.053987 | REG_LOSS=0.877822 | STDCLIP_LOSS=1.383289 | PCL_LOSS=0.378365 | MEAN_GATE=0.5043 | BATCH_RMSE=0.936921
  STEP 2800/5739 | TOTAL_LOSS=0.247689 | REG_LOSS=0.034945 | STDCLIP_LOSS=1.367627 | PCL_LOSS=0.759816 | MEAN_GATE=0.5034 | BATCH_RMSE=0.186936
  STEP 2900/5739 | TOTAL_LOSS=0.472000 | REG_LOSS=0.306851 | STDCLIP_LOSS=1.437271 | PCL_LOSS=0.214226 | MEAN_GATE=0.5017 | BATCH_RMSE=0.553941
  STEP 3000/5739 | TOTAL_LOSS=0.518306 | REG_LOSS=0.310657 | STDCLIP_LOSS=1.355547 | PCL_LOSS=0.720946 | MEAN_GATE=0.5010 | BATCH_RMSE=0.557366
  STEP 3100/5739 | TOTAL_LOSS=0.525428 | REG_LOSS=0.331580 | STDCLIP_LOSS=1.347180 | PCL_LOSS=0.591305 | MEAN_GATE=0.5009 | BATCH_RMSE=0.575829
  STEP 3200/5739 | TOTAL_LOSS=2.516789 | REG_LOSS=2.327784 | STDCLIP_LOSS=1.426102 | PCL_LOSS=0.463948 | MEAN_GATE=0.5041 | BATCH_RMSE=1.525708
  STEP 3300/5739 | TOTAL_LOSS=0.618473 | REG_LOSS=0.406172 | STDCLIP_LOSS=1.384406 | PCL_LOSS=0.738605 | MEAN_GATE=0.5059 | BATCH_RMSE=0.637316
  STEP 3400/5739 | TOTAL_LOSS=0.980469 | REG_LOSS=0.803617 | STDCLIP_LOSS=1.364050 | PCL_LOSS=0.404474 | MEAN_GATE=0.5006 | BATCH_RMSE=0.896447
  STEP 3500/5739 | TOTAL_LOSS=0.274399 | REG_LOSS=0.046622 | STDCLIP_LOSS=1.397046 | PCL_LOSS=0.880722 | MEAN_GATE=0.5035 | BATCH_RMSE=0.215921
  STEP 3600/5739 | TOTAL_LOSS=0.389758 | REG_LOSS=0.181878 | STDCLIP_LOSS=1.381063 | PCL_LOSS=0.697734 | MEAN_GATE=0.5078 | BATCH_RMSE=0.426472
  STEP 3700/5739 | TOTAL_LOSS=2.252270 | REG_LOSS=2.067126 | STDCLIP_LOSS=1.397661 | PCL_LOSS=0.453787 | MEAN_GATE=0.4980 | BATCH_RMSE=1.437750
  STEP 3800/5739 | TOTAL_LOSS=1.461398 | REG_LOSS=1.246508 | STDCLIP_LOSS=1.441330 | PCL_LOSS=0.707575 | MEAN_GATE=0.5007 | BATCH_RMSE=1.116471
  STEP 3900/5739 | TOTAL_LOSS=0.333374 | REG_LOSS=0.138875 | STDCLIP_LOSS=1.397913 | PCL_LOSS=0.547076 | MEAN_GATE=0.5000 | BATCH_RMSE=0.372660
  STEP 4000/5739 | TOTAL_LOSS=0.944090 | REG_LOSS=0.693253 | STDCLIP_LOSS=1.404688 | PCL_LOSS=1.103678 | MEAN_GATE=0.5085 | BATCH_RMSE=0.832618
  STEP 4100/5739 | TOTAL_LOSS=0.708191 | REG_LOSS=0.543110 | STDCLIP_LOSS=1.366619 | PCL_LOSS=0.284194 | MEAN_GATE=0.4949 | BATCH_RMSE=0.736960
  STEP 4200/5739 | TOTAL_LOSS=0.636294 | REG_LOSS=0.431073 | STDCLIP_LOSS=1.383035 | PCL_LOSS=0.669176 | MEAN_GATE=0.4868 | BATCH_RMSE=0.656561
  STEP 4300/5739 | TOTAL_LOSS=0.552332 | REG_LOSS=0.317676 | STDCLIP_LOSS=1.415975 | PCL_LOSS=0.930585 | MEAN_GATE=0.4855 | BATCH_RMSE=0.563627
  STEP 4400/5739 | TOTAL_LOSS=0.637983 | REG_LOSS=0.463915 | STDCLIP_LOSS=1.399333 | PCL_LOSS=0.341348 | MEAN_GATE=0.4771 | BATCH_RMSE=0.681113
  STEP 4500/5739 | TOTAL_LOSS=0.239816 | REG_LOSS=0.054094 | STDCLIP_LOSS=1.409858 | PCL_LOSS=0.447361 | MEAN_GATE=0.4812 | BATCH_RMSE=0.232582
  STEP 4600/5739 | TOTAL_LOSS=0.640685 | REG_LOSS=0.481370 | STDCLIP_LOSS=1.387644 | PCL_LOSS=0.205500 | MEAN_GATE=0.4897 | BATCH_RMSE=0.693809
  STEP 4700/5739 | TOTAL_LOSS=0.341296 | REG_LOSS=0.132542 | STDCLIP_LOSS=1.378082 | PCL_LOSS=0.709450 | MEAN_GATE=0.4875 | BATCH_RMSE=0.364064
  STEP 4800/5739 | TOTAL_LOSS=0.445991 | REG_LOSS=0.222937 | STDCLIP_LOSS=1.423673 | PCL_LOSS=0.806871 | MEAN_GATE=0.4602 | BATCH_RMSE=0.472162
  STEP 4900/5739 | TOTAL_LOSS=6.493817 | REG_LOSS=6.264018 | STDCLIP_LOSS=1.420695 | PCL_LOSS=0.877299 | MEAN_GATE=0.4718 | BATCH_RMSE=2.502802
  STEP 5000/5739 | TOTAL_LOSS=0.989151 | REG_LOSS=0.826024 | STDCLIP_LOSS=1.366384 | PCL_LOSS=0.264885 | MEAN_GATE=0.4962 | BATCH_RMSE=0.908859
  STEP 5100/5739 | TOTAL_LOSS=0.525764 | REG_LOSS=0.358166 | STDCLIP_LOSS=1.350305 | PCL_LOSS=0.325672 | MEAN_GATE=0.4954 | BATCH_RMSE=0.598470
  STEP 5200/5739 | TOTAL_LOSS=0.959052 | REG_LOSS=0.767627 | STDCLIP_LOSS=1.401368 | PCL_LOSS=0.512884 | MEAN_GATE=0.4923 | BATCH_RMSE=0.876143
  STEP 5300/5739 | TOTAL_LOSS=0.295053 | REG_LOSS=0.103335 | STDCLIP_LOSS=1.383923 | PCL_LOSS=0.533259 | MEAN_GATE=0.4783 | BATCH_RMSE=0.321457
  STEP 5400/5739 | TOTAL_LOSS=1.284168 | REG_LOSS=1.105218 | STDCLIP_LOSS=1.405510 | PCL_LOSS=0.383995 | MEAN_GATE=0.4837 | BATCH_RMSE=1.051293
  STEP 5500/5739 | TOTAL_LOSS=0.866211 | REG_LOSS=0.692470 | STDCLIP_LOSS=1.408701 | PCL_LOSS=0.328717 | MEAN_GATE=0.4672 | BATCH_RMSE=0.832148
  STEP 5600/5739 | TOTAL_LOSS=0.968707 | REG_LOSS=0.716557 | STDCLIP_LOSS=1.405988 | PCL_LOSS=1.115512 | MEAN_GATE=0.4995 | BATCH_RMSE=0.846497
  STEP 5700/5739 | TOTAL_LOSS=0.891534 | REG_LOSS=0.729710 | STDCLIP_LOSS=1.400948 | PCL_LOSS=0.217297 | MEAN_GATE=0.4756 | BATCH_RMSE=0.854231
[EPOCH 001/030] TRAIN: TOTAL=1.045866 | REG=0.829919 | STDCLIP=1.388526 | PCL=0.770948 | RMSE=0.910999 | MAE=0.630235 | CI=0.681866 | RM2=0.097502
[EPOCH 001/030] VAL  : TOTAL=0.780707 | REG=0.605140 | STDCLIP=1.386285 | PCL=0.369377 | RMSE=0.777908 | MAE=0.532870 | CI=0.760794 | RM2=0.230096
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.777908 | BEST_VAL_MAE=0.532870 | BEST_VAL_CI=0.760794 | BEST_VAL_RM2=0.230096

EPOCH 2/30
  STEP 100/5739 | TOTAL_LOSS=0.463932 | REG_LOSS=0.217637 | STDCLIP_LOSS=1.393611 | PCL_LOSS=1.069342 | MEAN_GATE=0.4872 | BATCH_RMSE=0.466515
  STEP 200/5739 | TOTAL_LOSS=2.213221 | REG_LOSS=2.065090 | STDCLIP_LOSS=1.399285 | PCL_LOSS=0.082029 | MEAN_GATE=0.4869 | BATCH_RMSE=1.437042
  STEP 300/5739 | TOTAL_LOSS=1.170657 | REG_LOSS=0.991684 | STDCLIP_LOSS=1.421246 | PCL_LOSS=0.368482 | MEAN_GATE=0.4805 | BATCH_RMSE=0.995834
  STEP 400/5739 | TOTAL_LOSS=1.255425 | REG_LOSS=1.076044 | STDCLIP_LOSS=1.388906 | PCL_LOSS=0.404902 | MEAN_GATE=0.4801 | BATCH_RMSE=1.037326
  STEP 500/5739 | TOTAL_LOSS=0.371550 | REG_LOSS=0.188204 | STDCLIP_LOSS=1.381857 | PCL_LOSS=0.451600 | MEAN_GATE=0.4486 | BATCH_RMSE=0.433825
  STEP 600/5739 | TOTAL_LOSS=0.684448 | REG_LOSS=0.526485 | STDCLIP_LOSS=1.394537 | PCL_LOSS=0.185091 | MEAN_GATE=0.4578 | BATCH_RMSE=0.725593
  STEP 700/5739 | TOTAL_LOSS=0.480142 | REG_LOSS=0.340833 | STDCLIP_LOSS=1.392276 | PCL_LOSS=0.000812 | MEAN_GATE=0.4931 | BATCH_RMSE=0.583809
  STEP 800/5739 | TOTAL_LOSS=0.273140 | REG_LOSS=0.077587 | STDCLIP_LOSS=1.388738 | PCL_LOSS=0.566793 | MEAN_GATE=0.4431 | BATCH_RMSE=0.278544
  STEP 900/5739 | TOTAL_LOSS=0.278533 | REG_LOSS=0.134630 | STDCLIP_LOSS=1.369966 | PCL_LOSS=0.069068 | MEAN_GATE=0.4397 | BATCH_RMSE=0.366920
  STEP 1000/5739 | TOTAL_LOSS=0.374180 | REG_LOSS=0.127232 | STDCLIP_LOSS=1.370347 | PCL_LOSS=1.099129 | MEAN_GATE=0.4411 | BATCH_RMSE=0.356696
  STEP 1100/5739 | TOTAL_LOSS=1.337131 | REG_LOSS=1.184945 | STDCLIP_LOSS=1.378208 | PCL_LOSS=0.143645 | MEAN_GATE=0.4597 | BATCH_RMSE=1.088552
  STEP 1200/5739 | TOTAL_LOSS=0.837500 | REG_LOSS=0.664679 | STDCLIP_LOSS=1.388886 | PCL_LOSS=0.339322 | MEAN_GATE=0.4327 | BATCH_RMSE=0.815278
  STEP 1300/5739 | TOTAL_LOSS=1.141344 | REG_LOSS=0.948883 | STDCLIP_LOSS=1.409822 | PCL_LOSS=0.514788 | MEAN_GATE=0.4142 | BATCH_RMSE=0.974106
  STEP 1400/5739 | TOTAL_LOSS=0.365225 | REG_LOSS=0.220431 | STDCLIP_LOSS=1.380746 | PCL_LOSS=0.067196 | MEAN_GATE=0.4284 | BATCH_RMSE=0.469500
  STEP 1500/5739 | TOTAL_LOSS=0.573816 | REG_LOSS=0.394826 | STDCLIP_LOSS=1.399928 | PCL_LOSS=0.389978 | MEAN_GATE=0.4812 | BATCH_RMSE=0.628352
  STEP 1600/5739 | TOTAL_LOSS=0.488168 | REG_LOSS=0.310817 | STDCLIP_LOSS=1.364110 | PCL_LOSS=0.409398 | MEAN_GATE=0.4277 | BATCH_RMSE=0.557509
