SWEEP START: 2026-04-18T17:08:28.721857\nSWEEP DIR: outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828\n\n\n====================================================================================================\n[RUN 1/5] bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07\nSTART: 2026-04-18T17:08:28.721949\nOUTPUT_DIR: outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07\nCOMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_stdclip_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_clip 0.1 --lambda_pcl 0.1 --temperature_init 0.07 --pcl_temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42\n====================================================================================================\nUsing device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + stdclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/11478 | TOTAL_LOSS=0.656009 | REG_LOSS=0.515888 | STDCLIP_LOSS=0.661857 | PCL_LOSS=0.739356 | MEAN_GATE=0.5111 | BATCH_RMSE=0.718253
  STEP 200/11478 | TOTAL_LOSS=0.394758 | REG_LOSS=0.252091 | STDCLIP_LOSS=0.724072 | PCL_LOSS=0.702600 | MEAN_GATE=0.5159 | BATCH_RMSE=0.502087
  STEP 300/11478 | TOTAL_LOSS=0.222386 | REG_LOSS=0.080020 | STDCLIP_LOSS=0.642339 | PCL_LOSS=0.781320 | MEAN_GATE=0.5135 | BATCH_RMSE=0.282877
  STEP 400/11478 | TOTAL_LOSS=3.050526 | REG_LOSS=2.905167 | STDCLIP_LOSS=0.665768 | PCL_LOSS=0.787824 | MEAN_GATE=0.5089 | BATCH_RMSE=1.704455
  STEP 500/11478 | TOTAL_LOSS=2.388869 | REG_LOSS=2.247389 | STDCLIP_LOSS=0.733885 | PCL_LOSS=0.680909 | MEAN_GATE=0.5100 | BATCH_RMSE=1.499129
  STEP 600/11478 | TOTAL_LOSS=0.518182 | REG_LOSS=0.363662 | STDCLIP_LOSS=0.778491 | PCL_LOSS=0.766701 | MEAN_GATE=0.5053 | BATCH_RMSE=0.603044
  STEP 700/11478 | TOTAL_LOSS=0.636465 | REG_LOSS=0.495468 | STDCLIP_LOSS=0.695292 | PCL_LOSS=0.714673 | MEAN_GATE=0.5042 | BATCH_RMSE=0.703895
  STEP 800/11478 | TOTAL_LOSS=0.791293 | REG_LOSS=0.649467 | STDCLIP_LOSS=0.675254 | PCL_LOSS=0.743005 | MEAN_GATE=0.5054 | BATCH_RMSE=0.805895
  STEP 900/11478 | TOTAL_LOSS=0.186707 | REG_LOSS=0.053082 | STDCLIP_LOSS=0.675271 | PCL_LOSS=0.660976 | MEAN_GATE=0.5067 | BATCH_RMSE=0.230396
  STEP 1000/11478 | TOTAL_LOSS=0.173148 | REG_LOSS=0.026876 | STDCLIP_LOSS=0.686668 | PCL_LOSS=0.776052 | MEAN_GATE=0.5072 | BATCH_RMSE=0.163939
  STEP 1100/11478 | TOTAL_LOSS=0.218584 | REG_LOSS=0.088017 | STDCLIP_LOSS=0.698559 | PCL_LOSS=0.607110 | MEAN_GATE=0.5075 | BATCH_RMSE=0.296677
  STEP 1200/11478 | TOTAL_LOSS=1.230316 | REG_LOSS=1.098345 | STDCLIP_LOSS=0.807685 | PCL_LOSS=0.512025 | MEAN_GATE=0.5037 | BATCH_RMSE=1.048020
  STEP 1300/11478 | TOTAL_LOSS=0.756196 | REG_LOSS=0.659792 | STDCLIP_LOSS=0.708873 | PCL_LOSS=0.255164 | MEAN_GATE=0.5054 | BATCH_RMSE=0.812276
  STEP 1400/11478 | TOTAL_LOSS=0.652291 | REG_LOSS=0.526938 | STDCLIP_LOSS=0.708655 | PCL_LOSS=0.544879 | MEAN_GATE=0.5044 | BATCH_RMSE=0.725905
  STEP 1500/11478 | TOTAL_LOSS=1.221788 | REG_LOSS=1.130225 | STDCLIP_LOSS=0.749096 | PCL_LOSS=0.166535 | MEAN_GATE=0.5022 | BATCH_RMSE=1.063120
  STEP 1600/11478 | TOTAL_LOSS=0.351645 | REG_LOSS=0.212330 | STDCLIP_LOSS=0.669723 | PCL_LOSS=0.723436 | MEAN_GATE=0.5025 | BATCH_RMSE=0.460792
  STEP 1700/11478 | TOTAL_LOSS=0.198667 | REG_LOSS=0.120660 | STDCLIP_LOSS=0.725139 | PCL_LOSS=0.054932 | MEAN_GATE=0.5014 | BATCH_RMSE=0.347362
  STEP 1800/11478 | TOTAL_LOSS=0.713976 | REG_LOSS=0.596185 | STDCLIP_LOSS=0.648210 | PCL_LOSS=0.529705 | MEAN_GATE=0.5013 | BATCH_RMSE=0.772130
  STEP 1900/11478 | TOTAL_LOSS=1.230367 | REG_LOSS=1.126060 | STDCLIP_LOSS=0.697341 | PCL_LOSS=0.345727 | MEAN_GATE=0.5016 | BATCH_RMSE=1.061160
  STEP 2000/11478 | TOTAL_LOSS=0.728558 | REG_LOSS=0.655677 | STDCLIP_LOSS=0.706578 | PCL_LOSS=0.022232 | MEAN_GATE=0.5014 | BATCH_RMSE=0.809739
  STEP 2100/11478 | TOTAL_LOSS=0.377907 | REG_LOSS=0.162385 | STDCLIP_LOSS=0.623764 | PCL_LOSS=1.531458 | MEAN_GATE=0.5008 | BATCH_RMSE=0.402970
  STEP 2200/11478 | TOTAL_LOSS=4.061909 | REG_LOSS=3.922772 | STDCLIP_LOSS=0.666083 | PCL_LOSS=0.725280 | MEAN_GATE=0.5014 | BATCH_RMSE=1.980599
  STEP 2300/11478 | TOTAL_LOSS=0.578627 | REG_LOSS=0.407757 | STDCLIP_LOSS=0.648578 | PCL_LOSS=1.060122 | MEAN_GATE=0.5027 | BATCH_RMSE=0.638558
  STEP 2400/11478 | TOTAL_LOSS=2.297551 | REG_LOSS=2.148837 | STDCLIP_LOSS=0.634410 | PCL_LOSS=0.852726 | MEAN_GATE=0.5013 | BATCH_RMSE=1.465891
  STEP 2500/11478 | TOTAL_LOSS=0.211910 | REG_LOSS=0.148784 | STDCLIP_LOSS=0.591345 | PCL_LOSS=0.039917 | MEAN_GATE=0.4993 | BATCH_RMSE=0.385726
  STEP 2600/11478 | TOTAL_LOSS=0.335952 | REG_LOSS=0.270985 | STDCLIP_LOSS=0.618850 | PCL_LOSS=0.030822 | MEAN_GATE=0.5000 | BATCH_RMSE=0.520562
  STEP 2700/11478 | TOTAL_LOSS=0.528041 | REG_LOSS=0.386094 | STDCLIP_LOSS=0.701365 | PCL_LOSS=0.718111 | MEAN_GATE=0.5000 | BATCH_RMSE=0.621364
  STEP 2800/11478 | TOTAL_LOSS=1.013431 | REG_LOSS=0.683068 | STDCLIP_LOSS=0.675233 | PCL_LOSS=2.628402 | MEAN_GATE=0.4994 | BATCH_RMSE=0.826479
  STEP 2900/11478 | TOTAL_LOSS=0.362715 | REG_LOSS=0.227881 | STDCLIP_LOSS=0.640752 | PCL_LOSS=0.707592 | MEAN_GATE=0.4976 | BATCH_RMSE=0.477369
  STEP 3000/11478 | TOTAL_LOSS=0.235459 | REG_LOSS=0.150596 | STDCLIP_LOSS=0.704579 | PCL_LOSS=0.144050 | MEAN_GATE=0.4989 | BATCH_RMSE=0.388067
  STEP 3100/11478 | TOTAL_LOSS=0.638495 | REG_LOSS=0.550137 | STDCLIP_LOSS=0.840440 | PCL_LOSS=0.043141 | MEAN_GATE=0.4984 | BATCH_RMSE=0.741712
  STEP 3200/11478 | TOTAL_LOSS=9.176908 | REG_LOSS=9.011965 | STDCLIP_LOSS=0.652681 | PCL_LOSS=0.996755 | MEAN_GATE=0.4980 | BATCH_RMSE=3.001993
  STEP 3300/11478 | TOTAL_LOSS=0.126136 | REG_LOSS=0.056268 | STDCLIP_LOSS=0.694867 | PCL_LOSS=0.003814 | MEAN_GATE=0.4984 | BATCH_RMSE=0.237208
  STEP 3400/11478 | TOTAL_LOSS=0.320053 | REG_LOSS=0.235299 | STDCLIP_LOSS=0.730833 | PCL_LOSS=0.116708 | MEAN_GATE=0.4990 | BATCH_RMSE=0.485076
